1
Frequency	Efficiency	Efficiency . dB
902000000	0.779475297660592	-1.0819764347666
915000000	0.80241993906647	-0.955982882142664
928000000	0.802153086062152	-0.957427413323333
960000000	0.761975183356137	-1.18059172895303
1700000000	0.888006145137175	-0.515840288273321
2100000000	0.649410403711604	-1.87480758151735
3300000000	0.664707697492116	-1.77369291951007
3400000000	0.660561338655365	-1.800868482952
3500000000	0.689867548388808	-1.61234283937515
3800000000	0.690772506125781	-1.60664956390451
5040000000	0.509931970560207	-2.92487758766752
5060000000	0.484670775876942	-3.14553166078798
5080000000	0.446349416484007	-3.50325028646234
5500000000	0.465402671754662	-3.32171127871429
