1
Frequency	E Total. dB
902000000	2.76890555096982
915000000	2.97681558594069
928000000	3.41708217956028
960000000	3.0099634956717
1700000000	4.30687899414632
2100000000	3.46860037960436
3300000000	4.04921424989146
3400000000	3.45869319829559
3500000000	3.58954714895774
3800000000	4.1852460215832
5040000000	3.15334571190705
5060000000	3.16710120597066
5080000000	2.85297617790123
5500000000	4.19727176795894
