2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
915000000	0.05235987756	2.22336558476929	-4.30140170123589	1.12981635550421	3.04675684535575	-2.45507238483263
915000000	0.10471975512	2.19574868424394	-3.8886725600752	0.967428365244042	3.12422350846475	-2.4607601892052
915000000	0.15707963268	2.17419305040583	-3.42411996796903	0.77439785066421	-3.09911525066815	-2.46936591994819
915000000	0.20943951024	2.19386709539283	-2.8552987180056	0.565532810260915	-3.05758617041751	-2.47893880964783
915000000	0.2617993878	2.27780041743513	-2.15476503424146	0.337117821741058	-3.0415669456988	-2.48606711233046
915000000	0.31415926536	2.41234492230021	-1.39374707963591	0.0743531915789899	-3.05832662206392	-2.48746271866116
915000000	0.36651914292	2.54365269758588	-0.718426148039805	-0.228668649886512	-3.10809795757835	-2.48131487110984
915000000	0.41887902048	2.59549394270165	-0.280254519274697	-0.553659779225577	3.09970069954609	-2.46864940239041
915000000	0.47123889804	2.50315627339648	-0.181674403808994	-0.858994754864633	3.01051215501729	-2.45259307363614
915000000	0.5235987756	2.24349187894073	-0.453327219017833	-1.10468916102921	2.92173523192495	-2.43754853307424
915000000	0.5759586532	1.85082222162548	-1.03979423573302	-1.28255318605847	2.85028700784113	-2.42723333557109
915000000	0.6283185307	1.41012455495256	-1.78050188826947	-1.42703883287133	2.81235029417237	-2.42266287127304
915000000	0.6806784083	1.02206389435608	-2.41584182607355	-1.59898417961663	2.81265879474955	-2.42177880301678
915000000	0.7330382858	0.743443641544165	-2.72579565211567	-1.85181342929343	2.83014298137915	-2.42073683331209
915000000	0.7853981634	0.550798233896132	-2.73954834519267	-2.19642465266788	2.8274715679408	-2.41550639716169
915000000	0.837758041	0.349417133569557	-2.73078216861374	-2.59209070463118	2.78150769195051	-2.40252650621955
915000000	0.8901179185	0.040089004667076	-2.977913809577	-2.96252173234497	2.69552578915212	-2.38125887807658
915000000	0.9424777961	-0.420974069256352	-3.63723615434035	-3.23463889538246	2.58884226126825	-2.35383430986467
915000000	0.9948376736	-1.00857728659722	-4.75366995596001	-3.39060100919029	2.49031296356895	-2.32516024282632
915000000	1.0471975512	-1.6354593193437	-6.25231772187066	-3.47565618281606	2.43601868461121	-2.29929728623973
915000000	1.0995574288	-2.18881300915742	-7.84381627359836	-3.5672405810185	2.4589529814826	-2.2776398946959
915000000	1.1519173063	-2.58575244114947	-8.98368043090337	-3.71631334092034	2.55117139204496	-2.25809081543125
915000000	1.2042771839	-2.83443392036373	-9.39281729403921	-3.9184053298073	2.63480920002478	-2.23756804021406
915000000	1.2566370614	-3.00898606716478	-9.50889129445018	-4.10968052606215	2.63998014681545	-2.21384802627072
915000000	1.308996939	-3.16616432864865	-9.88715092093219	-4.20512350168264	2.57151176080272	-2.18810298029958
915000000	1.3613568166	-3.30028572238129	-10.7879395861815	-4.15333356157368	2.47398981206293	-2.1648835941881
915000000	1.4137166941	-3.37858000019159	-12.2668722346168	-3.97925970329804	2.40352905707767	-2.15002837945868
915000000	1.4660765717	-3.37755278685261	-14.1627540181988	-3.75603991592825	2.41834300557375	-2.14742995532896
915000000	1.5184364492	-3.31996802985574	-15.8790668490961	-3.56782923071357	2.5356583903477	-2.15708416832597
915000000	1.5707963268	-3.26684754900198	-16.8581849579492	-3.46108192474185	2.65034478873	-2.17627504536044
915000000	1.6231562044	-3.27374404638461	-17.6210398033094	-3.43635886024406	2.61362767723393	-2.20107776603932
915000000	1.6755160819	-3.3362483398926	-18.8407304788758	-3.4602772085258	2.36306276904787	-2.22618319615597
915000000	1.7278759595	-3.39927968724231	-20.0939799720136	-3.49325298666427	1.90223296936295	-2.24815237466629
915000000	1.780235837	-3.42519245817094	-20.5167761949903	-3.51087712793649	1.35408432558525	-2.26528524557167
915000000	1.8325957146	-3.42271352731545	-20.4114827828774	-3.51047176813714	0.866002673597701	-2.27857767516679
915000000	1.8849555922	-3.41150614916788	-20.055496269222	-3.5065953249848	0.45874171623207	-2.29007708140064
915000000	1.9373154697	-3.38143769020409	-18.8602007161586	-3.50621392704279	0.16359151789635	-2.30164152506173
915000000	1.9896753473	-3.2932952444687	-16.5985541124877	-3.50107635356746	0.0218964322733279	-2.31343302797742
915000000	2.0420352248	-3.08759906341813	-13.8432877740032	-3.46878359787975	-0.0240573961907032	-2.32424670976235
915000000	2.0943951024	-2.74649153902521	-11.3864146861414	-3.38525296772437	-0.0527370874353703	-2.33332641464135
915000000	2.14675498	-2.36670992231158	-9.74295383133212	-3.24432030574322	-0.0902596381782688	-2.34068150478679
915000000	2.1991148575	-2.09867743760202	-9.09623977171117	-3.06581421697952	-0.126497037950258	-2.34854568605711
915000000	2.2514747351	-2.00612982902442	-9.3757355902433	-2.88522816784531	-0.128282741398428	-2.35885589347005
915000000	2.3038346126	-2.0117112180953	-10.1361822184196	-2.73806616693922	-0.0365956762607975	-2.37257375612267
915000000	2.3561944902	-1.93378092951176	-10.1833386148171	-2.63774659410848	0.182161623539115	-2.38791010511023
915000000	2.4085543678	-1.58444690625434	-8.50166379794534	-2.57185843524969	0.399335705497969	-2.40137168644278
915000000	2.4609142453	-0.905904628812764	-6.01813625159552	-2.50585049848588	0.48484110823603	-2.40934291575813
915000000	2.5132741229	-0.0563455840474701	-3.85545631647989	-2.39932297577734	0.470967101846338	-2.41037458759868
915000000	2.5656340004	0.709687090578909	-2.37920012349492	-2.22342243658408	0.41516652097637	-2.40718372874239
915000000	2.617993878	1.21806540691717	-1.61423782257277	-1.97783945271176	0.348791580562381	-2.40460538687245
915000000	2.6703537556	1.43980066346045	-1.44613145614313	-1.69853388306899	0.287417898010072	-2.40737661273426
915000000	2.7227136331	1.45626840639719	-1.67937330521852	-1.43220603924524	0.239358099630924	-2.417271312354
915000000	2.7750735107	1.38397054578962	-2.07355673642464	-1.22088713752957	0.208326671546072	-2.43244207621468
915000000	2.8274333882	1.30559935198703	-2.42299214063782	-1.08852026525561	0.191096553029364	-2.44874108545729
915000000	2.8797932658	1.23694084312576	-2.66976029681564	-1.03069762481537	0.179233197748415	-2.46236751534724
915000000	2.9321531434	1.14435519838188	-2.91163217743863	-1.02381429760834	0.165608415791082	-2.47164863825279
915000000	2.9845130209	0.994033567336511	-3.29043284133569	-1.03236638708022	0.148796061068048	-2.47817888467569
915000000	3.0368728985	0.794211998663387	-3.85618815012761	-1.02839090835902	0.132124028696663	-2.48622647366061
915000000	3.089232776	0.600300203189394	-4.50567882051116	-1.00243361060164	0.118474866617032	-2.49977504488957
915000000	3.1415926536	0.478045710682206	-5.01520267557936	-0.962384346746988	0.106120793406182	-2.52021331263133
915000000	3.1939525311	0.451585965637345	-5.20762741908663	-0.925269985083022	0.0866200048172758	-2.54507462846231
915000000	3.2463124087	0.488347632221212	-5.12498270669796	-0.905749795088813	0.0505349722346269	-2.5694749242346
