2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-3.1415926536	-1.89080208448603	-6.97154851429223	-3.50484596059668	0.192166054200353	1.18589755069747
902000000	-3.089232776	-2.65237192114505	-7.04230788819819	-4.61725725985488	0.20171926578815	1.14954845730087
902000000	-3.0368728985	-3.16574639400523	-7.24314731466843	-5.32010740809798	0.214486175911071	1.13396853387513
902000000	-2.9845130209	-3.5218501422607	-7.38436608240083	-5.82004546397456	0.243900343454006	1.14788893425673
902000000	-2.9321531434	-3.96228313940222	-7.40845463239499	-6.57649457534035	0.282264182956243	1.16276887689696
902000000	-2.8797932658	-4.66310412031096	-7.49805474567447	-7.85613222516998	0.308330051036593	1.13543784195257
902000000	-2.8274333882	-5.58029500595915	-7.89033118262907	-9.42589185667767	0.307945344250731	1.03215356459075
902000000	-2.7750735107	-6.49535644454099	-8.62252258203525	-10.6154432297197	0.281376230215979	0.868061002721523
902000000	-2.7227136331	-7.1977503393203	-9.43310707834358	-11.1519687883946	0.242233963638086	0.715127570887148
902000000	-2.6703537556	-7.63552682805612	-9.90950570581212	-11.5329970479986	0.211788398366076	0.586956250471238
902000000	-2.617993878	-7.80968227023919	-9.85001452771508	-12.0708159266789	0.201906294136172	0.413007977838093
902000000	-2.5656340004	-7.65268868230796	-9.47141277084258	-12.3105369309153	0.205477924980376	0.145666482071024
902000000	-2.5132741229	-7.21734709376241	-9.1249977207842	-11.709168887295	0.210825738367754	-0.142740982207149
902000000	-2.4609142453	-6.77790128317724	-8.99800746827401	-10.7548744671473	0.211321620356769	-0.369873250228838
902000000	-2.4085543678	-6.48721247448898	-9.04886421490926	-9.99790503449461	0.198423879989905	-0.567044437803554
902000000	-2.3561944902	-6.21132823832232	-9.15424651063665	-9.29007181784695	0.158479625590526	-0.78313152808692
902000000	-2.3038346126	-5.7151707766222	-9.23398460373469	-8.27030641515072	0.0827853737081445	-1.00033074061839
902000000	-2.2514747351	-5.02758075482378	-9.30271902381363	-7.0595363305777	-0.0187923000682264	-1.16726605035343
902000000	-2.1991148575	-4.38878913191328	-9.44257624035038	-6.015022811708	-0.121537250907911	-1.27780799335943
902000000	-2.14675498	-3.89201499429126	-9.7140869011583	-5.20964762702497	-0.206006983189787	-1.36457610053035
902000000	-2.0943951024	-3.39406987369015	-10.0283280655242	-4.45676948391316	-0.274469044880885	-1.45904333896726
902000000	-2.0420352248	-2.73911132948739	-10.191337177314	-3.59988677799844	-0.350787185567646	-1.56829898069259
902000000	-1.9896753473	-1.97439024344711	-10.0662863192781	-2.70670180513281	-0.454242157409942	-1.68121376115744
902000000	-1.9373154697	-1.30162468983519	-9.76711604499283	-1.96867880047071	-0.571522456062071	-1.78954690754308
902000000	-1.8849555922	-0.846201227399944	-9.60228557891405	-1.46683910372715	-0.670872489567126	-1.89393218114031
902000000	-1.8325957146	-0.561281482215126	-9.82155871953293	-1.10939978158422	-0.730166985840513	-1.99469677622209
902000000	-1.780235837	-0.307403592557705	-10.3708446940773	-0.757986354261928	-0.746650635180543	-2.08770924451025
902000000	-1.7278759595	-0.00449492801015685	-10.8587647896917	-0.376746880138701	-0.740210265120857	-2.17209401624441
902000000	-1.6755160819	0.297691870622143	-10.8959541227574	-0.0454418851776355	-0.747955982734105	-2.25544368655165
902000000	-1.6231562044	0.516930659135349	-10.5017879203997	0.159096908843363	-0.792268465155748	-2.34737711126237
902000000	-1.5707963268	0.633524644858002	-10.0327604825901	0.244045480351817	-0.862686494628199	-2.44790008959035
902000000	-1.5184364492	0.679021599582354	-9.79457370968862	0.271016751659689	-0.942181689295519	-2.54539064780819
902000000	-1.4660765717	0.674941705250097	-9.83337639776306	0.270342117957504	-1.02548220717401	-2.6281576711892
902000000	-1.4137166941	0.619416368013731	-9.96797967257454	0.222461354918866	-1.11433472908592	-2.69834681760751
902000000	-1.3613568166	0.506363202703258	-9.99790503449461	0.101367983719199	-1.21054554659684	-2.76921722316395
902000000	-1.308996939	0.338632635817802	-9.89230468719979	-0.0940244848703793	-1.31431834480289	-2.85008744655956
902000000	-1.2566370614	0.127000074638604	-9.74902611700968	-0.3445707195189	-1.4283170736312	-2.93515744608521
902000000	-1.2042771839	-0.123860841173997	-9.64420450053201	-0.638154155885921	-1.55333908401356	-3.00893444173048
902000000	-1.1519173063	-0.400162964676839	-9.58040306643005	-0.959161229865009	-1.68278786100354	-3.06318311008269
902000000	-1.0995574288	-0.657086778307245	-9.58437742532403	-1.25201142704838	-1.8059192023616	-3.1055010743109
902000000	-1.0471975512	-0.858048798143175	-9.74847803834634	-1.45841160160491	-1.91975105258875	3.13269887342694
902000000	-0.9948376736	-1.02815354364149	-10.171272786683	-1.59227578816056	-2.03530936180206	3.07951102199714
902000000	-0.9424777961	-1.24559463868974	-10.8394662932416	-1.75073168355334	-2.16739692153824	3.02495487355785
902000000	-0.8901179185	-1.57992431477031	-11.6405729390877	-2.03081246921075	-2.31999409542957	2.9760908835134
902000000	-0.837758041	-2.01476595929224	-12.4880214132457	-2.42280428476665	-2.48368890194126	2.93053624560266
902000000	-0.7853981634	-2.44893915743105	-13.4676422410501	-2.80677423857457	-2.65083118813263	2.8802961573933
902000000	-0.7330382858	-2.77899871908731	-14.7174655343776	-3.06622200631207	-2.82891382361216	2.82384801916105
902000000	-0.6806784083	-3.00428610374043	-16.2682363633218	-3.21410173103696	-3.02353348351835	2.77092625570124
902000000	-0.6283185307	-3.22085847754764	-18.031859961398	-3.36672549411609	3.0808129752353	2.72890379207486
902000000	-0.5759586532	-3.47940141068526	-20.0011315279484	-3.57723632344741	2.99606058861718	2.69131269066677
902000000	-0.5235987756	-3.70486803753362	-21.9275319765598	-3.7707563168951	3.0712084846916	2.64086616365019
902000000	-0.47123889804	-3.80465087968037	-22.8446251358091	-3.85916509248275	-3.05788451396756	2.56444602493939
