2
Frequency=928(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-0.96085169933843	-3.08328471814484	-5.08843830856196	0.932657555719102	3.00820418318691
0	-3.089232776	-1.64598407110977	-3.92612538959711	-5.53451410168675	0.960302094210593	2.99490022307861
0	-3.0368728985	-2.82841087937088	-5.42108948374293	-6.30080551473114	1.08043273752467	3.0995665551784
0	-2.9845130209	-3.07188882775145	-6.02627637590759	-6.13883042499567	1.24632443236587	-3.02170879675635
0	-2.9321531434	-2.26826574818311	-4.97007463590982	-5.61065677641746	1.30320758783732	-2.95847141463073
0	-2.8797932658	-1.52228557152551	-3.4071593490421	-6.05571074524228	1.24829677899838	-2.97757962279122
0	-2.8274333882	-1.35571967546379	-2.47261802575891	-7.7999137783219	1.17705844105544	-2.96432110771446
0	-2.7750735107	-1.75498927212187	-2.51187395013651	-9.71548276065691	1.13444344900094	-2.79206340092253
0	-2.7227136331	-2.28135819872859	-3.16255182500359	-9.64163736359207	1.12562221792761	-2.55249595857506
0	-2.6703537556	-2.41879895583537	-3.63168124215609	-8.55079211174316	1.12977328835393	-2.45761438842171
0	-2.617993878	-2.19450621993458	-3.42562776415185	-8.27036911356363	1.1113946950644	-2.40513721193814
0	-2.5656340004	-1.80754922385696	-2.83544515641434	-8.56971671214844	1.06002260571401	-2.23661491865911
0	-2.5132741229	-1.24966323869971	-2.36083325795036	-7.7134468364531	0.988908519276807	-1.99138961848094
0	-2.4609142453	-0.552805982499372	-2.13086861657678	-5.71457225668573	0.909069401199187	-1.89950732562787
0	-2.4085543678	0.128783500237302	-1.98140965504491	-4.01829609432165	0.826626565843783	-1.96100598290508
0	-2.3561944902	0.622897881342676	-1.79940875764783	-3.06765850396564	0.743806282852459	-2.06889329055632
0	-2.3038346126	0.841745467258772	-1.67143375806009	-2.73002382230426	0.654653513420159	-2.16259671695242
0	-2.2514747351	0.845197087344163	-1.71134957446937	-2.67185580446421	0.551551269606289	-2.23102829166252
0	-2.1991148575	0.74904920959889	-1.8896900035324	-2.66759989896953	0.438406904864929	-2.28355145550153
0	-2.14675498	0.579225395449427	-2.11592719447775	-2.77089261846314	0.333935232182198	-2.31561702868418
0	-2.0943951024	0.291493658848436	-2.41135345370422	-3.04969444711408	0.253366492663434	-2.30363254768257
0	-2.0420352248	-0.0113475527274153	-2.86872391411043	-3.18015299090736	0.189946247486355	-2.24799221904158
