2
Frequency=5040(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-9.65575012079246	-13.2872731899672	-12.1226691946438	0.476119343435132	0.600769297059842
0	-3.089232776	-8.87927166229284	-13.1955642145226	-10.8868591357663	0.318196580512981	0.584700041489462
0	-3.0368728985	-8.78947980028335	-13.0975516739135	-10.8019055443198	0.0835313776856451	0.581173159900737
0	-2.9845130209	-10.3795999859422	-14.7160928918486	-12.3753601124419	0.0832587470744782	0.624211966452137
0	-2.9321531434	-13.6948715701177	-19.1341863241898	-15.1566983229429	0.399080040311922	0.661595571747343
0	-2.8797932658	-16.9087022147485	-29.7372158543804	-17.141247935468	0.668416158329538	0.43725747119087
0	-2.8274333882	-14.3211645147113	-22.2749298737548	-15.0793313284925	-1.78248864167707	0.0112594560642794
0	-2.7750735107	-10.197435721397	-15.2470516958929	-11.8255652432564	-1.8467912930674	-0.17432184923787
0	-2.7227136331	-8.43492062868387	-13.5668622125377	-10.0261159661865	-2.11620392863407	-0.19829751965779
0	-2.6703537556	-7.6286284292592	-12.1994190144484	-9.49333068182279	-2.55980395718263	-0.147149395192432
0	-2.617993878	-6.7705547249759	-10.0702268858698	-9.50956489807624	-2.81006319929957	-0.0487047192990974
0	-2.5656340004	-6.12429022187419	-8.83890008872194	-9.45189282655912	-2.86685759478965	0.0853404881882087
0	-2.5132741229	-5.77166515769312	-8.58536985052898	-8.98788350407015	-2.92293245111458	0.239108223037773
0	-2.4609142453	-5.39648400522755	-8.69060178412925	-8.14038173323112	-3.08076858975436	0.379179049140972
0	-2.4085543678	-4.87739154003472	-8.71060106314996	-7.19614692307654	2.99688131133866	0.478804170543833
0	-2.3561944902	-4.47824787118743	-9.05793616613781	-6.33818596348612	2.8301602614931	0.53942334292256
0	-2.3038346126	-4.20609675041483	-10.0770368892577	-5.50653914933698	2.69135748227019	0.573885894296404
