2
Frequency=5080(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-10.1693887939482	-13.6284718850652	-12.7729684279866	-0.295826330586216	0.00267536350380612
0	-3.089232776	-9.41591892458091	-13.4712970609974	-11.5844829290887	-0.414403277701351	-0.0386817968999494
0	-3.0368728985	-9.26401133852552	-13.5380170541264	-11.296642733959	-0.627817984082625	-0.0235285254678313
0	-2.9845130209	-10.6948120774392	-15.2251611606018	-12.5813584138356	-0.669243025560073	0.0669645711712766
0	-2.9321531434	-13.9005159941068	-19.6959488393757	-15.2276302266772	-0.477682532789137	0.156910990416804
0	-2.8797932658	-17.546767676158	-29.7029549050703	-17.8194962604922	-0.740220186428882	-0.0237076196257684
0	-2.8274333882	-15.1202601170647	-20.5025933724782	-16.6051006223129	-2.35342233875603	-0.496145169089577
0	-2.7750735107	-10.7131022781185	-14.1115931997271	-13.3670803147112	-2.45543451004795	-0.722424425907328
0	-2.7227136331	-8.73807204663189	-12.2994885871149	-11.2593818399615	-2.62576878625652	-0.768853654473742
0	-2.6703537556	-7.96218572159497	-11.8709278766531	-10.2284253497906	-2.94827405695095	-0.742226475050634
0	-2.617993878	-7.31111817508213	-10.8573107126147	-9.84444730328693	3.04605688348669	-0.659653788972637
0	-2.5656340004	-6.85313342727643	-9.9275317598418	-9.80026730523488	2.92171618423731	-0.522557631216999
0	-2.5132741229	-6.70845953584663	-9.74387430806428	-9.69378907871442	2.84216593190079	-0.358056078424219
0	-2.4609142453	-6.57359533852594	-10.045497928284	-9.16667580629121	2.68391597163921	-0.217089035439182
0	-2.4085543678	-6.13289601634288	-10.2825252977474	-8.24149479470113	2.45475984703408	-0.117967270166026
0	-2.3561944902	-5.57794396313702	-10.5576509442188	-7.23824653260043	2.25133003164981	-0.0370311870625239
0	-2.3038346126	-5.17042300553688	-11.2867965912401	-6.38834948131537	2.10781961370806	0.0337241611207964
0	-2.2514747351	-4.80461045458932	-12.2960976366695	-5.65682675779626	1.99851470378713	0.0729089982658071
0	-2.1991148575	-4.24184072038206	-13.1587399474707	-4.83829305601547	1.87689438428523	0.070138478294775
0	-2.14675498	-3.42693155957561	-13.9015732533511	-3.83483335114215	1.68866065996925	0.045656294884644
0	-2.0943951024	-2.53450243048436	-14.7156446507673	-2.80561857400274	1.43283222966112	0.0136557335014592
0	-2.0420352248	-1.78615899237038	-15.8881628018561	-1.95841252625508	1.2188057079189	-0.0400663208960201
0	-1.9896753473	-1.24947133281078	-18.122681167444	-1.33962076642236	1.16814716358551	-0.128580790316346
0	-1.9373154697	-0.870536212389441	-21.1698108042054	-0.911264078280452	1.28726308833978	-0.239510556868109
0	-1.8849555922	-0.695758887702432	-23.2101435486598	-0.720168774642836	1.39772527991953	-0.354498115808286
0	-1.8325957146	-0.805997323654219	-22.7572804103377	-0.833797353530866	1.52993374037866	-0.477628580618363
0	-1.780235837	-1.12984992500159	-19.5095460879355	-1.19338117276236	1.87972515506487	-0.622756816017938
0	-1.7278759595	-1.52426867329106	-15.3255487642728	-1.70913892194274	2.07826908691118	-0.782815524511452
0	-1.6755160819	-2.09158821746174	-12.6793206312357	-2.48851103775023	1.9918836610527	-0.938455587822982
0	-1.6231562044	-2.96246564815697	-11.0066170953558	-3.70360387690059	1.71252264552911	-1.09988757674238
0	-1.5707963268	-3.82110863121354	-9.35762021296583	-5.2446408860191	1.44710430511118	-1.30274756499829
0	-1.5184364492	-4.48551018900786	-8.28654078939123	-6.8271151405989	1.30144760736569	-1.5541012143527
0	-1.4660765717	-5.33699285158898	-8.07086754034322	-8.64251556527931	1.17208961726471	-1.84004923280056
0	-1.4137166941	-6.26263142871878	-8.06624891560964	-10.9496736787296	0.941925603771677	-2.2514872841967
0	-1.3613568166	-6.14438855874963	-7.57972824311289	-11.6506067760621	0.673133767378595	-2.87848998376921
0	-1.308996939	-5.30153530397725	-7.29745722425772	-9.63775086947909	0.498570166414207	2.9337574451758
0	-1.2566370614	-4.89172602548953	-7.94194186627195	-7.86247362512741	0.395750793883566	2.67982474162328
0	-1.2042771839	-4.80785027306961	-8.97175597871294	-6.90754971292859	0.265461149833984	2.45581638822239
0	-1.1519173063	-4.40952051313449	-9.34294554495547	-6.09154373839173	0.0898954181779481	2.22147588947312
0	-1.0995574288	-3.7216695751677	-9.31018004235908	-5.12519868828857	-0.0196790251581083	2.04235082281431
0	-1.0471975512	-3.23819379995255	-9.82881438065684	-4.31306920902946	-0.0116676875654753	1.9372977609551
0	-0.9948376736	-2.98111968848789	-10.508075978873	-3.82568410934791	0.0714412347813154	1.85953027838337
0	-0.9424777961	-2.72342885080448	-10.1218620009673	-3.596085617485	0.119454398922804	1.7761732024945
0	-0.8901179185	-2.37489964650027	-8.71351763209394	-3.52325355809889	0.0877565070850327	1.69647250889809
0	-0.837758041	-2.02798588828762	-7.28546199698683	-3.56476812744353	0.0334597299749612	1.6375800776109
