2
Frequency=3500(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-4.55849075354646	-16.5648506138512	-4.84111062169242	-0.708188060061066	1.19236503911054
0	-3.089232776	-4.88659416677929	-19.3858177573298	-5.04351638490132	-0.696205617821794	1.17698129939021
0	-3.0368728985	-4.70980221192865	-24.3992317971557	-4.75670344968794	-1.49761609432036	1.29209288651868
0	-2.9845130209	-3.54794856992824	-14.8668669383954	-3.88094208152208	-1.8690957534816	1.48477034771027
0	-2.9321531434	-2.3915017144626	-8.67223213568339	-3.55752983046103	-1.70182340988169	1.67544069638928
0	-2.8797932658	-1.80343220944508	-5.99599519364024	-3.88541033714933	-1.5622365039514	1.87122720091705
0	-2.8274333882	-1.69098280256487	-5.46718491521833	-4.05041732511004	-1.41695141378885	2.07216592074285
0	-2.7750735107	-1.34277250135574	-5.30240733066017	-3.57448698782078	-1.27618263199145	2.27339887122138
0	-2.7227136331	-0.463582601136132	-4.65301474198036	-2.54748761361527	-1.27125473441375	2.43801295069978
0	-2.6703537556	0.390372983298856	-4.04634657103612	-1.5479709673355	-1.43592308129393	2.49966905675339
0	-2.617993878	0.726469892327803	-3.84844101518706	-1.13602432524217	-1.65842313856064	2.48281859588978
0	-2.5656340004	0.4298624420784	-4.23056906620989	-1.38751869800133	-1.82682775314509	2.49091143494654
0	-2.5132741229	-0.177103369794142	-5.16338415790363	-1.83434823859549	-1.92710682090863	2.57890846852239
0	-2.4609142453	-0.553679858393068	-6.26214747495051	-1.91230375919175	-2.02304003396588	2.66317465838279
0	-2.4085543678	-0.731451618613361	-7.24292869088099	-1.82881383620253	-2.13561856495824	2.6727008199627
0	-2.3561944902	-1.03820794536812	-8.24104941597295	-1.95561798129736	-2.20680790620669	2.6690387149971
0	-2.3038346126	-1.45035478030017	-9.25439202992282	-2.23767627675465	-2.22799600399558	2.69744601570493
0	-2.2514747351	-1.61486981778702	-9.71395159913208	-2.3458628622706	-2.26823782853241	2.70525041209196
0	-2.1991148575	-1.37139987394184	-9.31032184589031	-2.13240367495519	-2.33905095196009	2.66714052563906
0	-2.14675498	-0.905749474084753	-8.58710490448041	-1.71787354152411	-2.41818654756479	2.63351168008257
0	-2.0943951024	-0.488460604250516	-8.1636413627549	-1.30185543028347	-2.56587200255241	2.59368205978423
0	-2.0420352248	-0.189000946921406	-8.19873895354114	-0.936573015321458	-2.8286195070639	2.48024664094738
0	-1.9896753473	0.0398084868194955	-8.88326608636641	-0.555735479481477	3.13274138307942	2.30317560553732
0	-1.9373154697	0.0258561744061103	-10.7934372637336	-0.349539765095335	2.80578444603988	2.1253567314382
0	-1.8849555922	-0.31064523619345	-13.8867081515572	-0.505579543308519	2.47681815877245	1.93402061986268
0	-1.8325957146	-0.656957533164427	-17.2921248507246	-0.752242218295903	2.24027740945967	1.68466881608842
0	-1.780235837	-0.889985572593204	-21.0921356186654	-0.931638958639069	2.20397800150352	1.41779998778319
0	-1.7278759595	-1.35930927839994	-26.7844788018023	-1.37177997589699	2.18581610671082	1.18641905739478
0	-1.6755160819	-1.79626467685296	-36.725016212274	-1.79766097760177	1.35450057053192	0.971365844265091
0	-1.6231562044	-1.45354087356481	-30.2606676914704	-1.45926036709157	-0.465687827679767	0.756285052439336
0	-1.5707963268	-0.701655724612393	-21.1980925527372	-0.740567834642744	-1.07413385500064	0.541502721122872
0	-1.5184364492	-0.233008216833405	-15.3072963648383	-0.370157940296618	-1.42398050918029	0.299573045029173
