phi,theta,gain_total,gain_total_db,gain_phi,gain_phi_db,gain_theta,gain_theta_db
0.0,-180.0000000005848,-2.0868915633606,-2.0868915633606,0.5496376499999996,-2.59923525899006,0.06882125000000044,-11.6227744355507
0.0,-176.99999999828322,-2.02804653639877,-2.02804653639877,0.5959543299999994,-2.24787020442568,0.030941450000000013,-15.0945933794618
0.0,-174.00000000171124,-2.94816892217388,-2.94816892217388,0.49190080250000023,-3.08122468920568,0.015303708900000108,-18.152033038489
0.0,-170.99999999940965,-6.8294344874385,-6.8294344874385,0.20082455409999997,-6.97183188647513,0.006693817699999978,-21.7432611943001
0.0,-168.00000000283765,-7.82971356018105,-7.82971356018105,0.12796285000000002,-8.92916095834806,0.036864260000000273,-14.3339447954583
0.0,-165.0000000005361,-2.26573861782463,-2.26573861782463,0.5118794600000001,-2.90832296876066,0.08162793999999912,-10.8816116341632
0.0,-161.9999999982345,0.562861745852611,0.562861745852611,1.01268082,0.0547258459474178,0.12569634249999986,-9.00677359188962
0.0,-159.0000000016625,2.51619042942971,2.51619042942971,1.5919286499999992,2.01923598825213,0.19299253000000013,-7.14459500539189
0.0,-155.99999999936094,4.36269222237265,4.36269222237265,2.424245089999999,3.84576524674863,0.30642493000000004,-5.13675904440889
0.0,-153.0000000027889,5.09059864763476,5.09059864763476,2.853549249999998,4.55385372528451,0.37538993000000015,-4.25517381698931
0.0,-150.00000000048735,4.08823377021993,4.08823377021993,2.2225542400000022,3.46852368447768,0.3408870600000003,-4.67389484184007
0.0,-146.99999999818576,2.28856151748161,2.28856151748161,1.2871866400000005,1.09641523474139,0.4065900500000001,-3.90843253545911
0.0,-144.00000000161376,1.87367624790967,1.87367624790967,0.8079115299999999,-0.926361938497099,0.7315456900000005,-1.35758544049671
0.0,-140.9999999993122,2.78953590937035,2.78953590937035,0.715208499999999,-1.45567332745193,1.1856666399999998,0.7396260069846
0.0,-138.00000000274017,3.15607602175389,3.15607602175389,0.6047721999999995,-2.18408180575775,1.4634995599999983,1.65392596199533
0.0,-135.0000000004386,3.15564718063263,3.15564718063263,0.49684225000000015,-3.03781480138907,1.5712252900000017,1.96238460780868
0.0,-131.99999999813704,3.57128299401392,3.57128299401392,0.49943439999999995,-3.01521547656163,1.7763352400000012,2.49524931680586
0.0,-129.00000000156504,4.15595898656476,4.15595898656476,0.48189962000000003,-3.17043416159817,2.121830089999998,3.26710603915074
0.0,-125.99999999926347,4.44316181089845,4.44316181089845,0.37140797000000036,-4.30148781021972,2.4103297600000015,3.82076462969616
0.0,-123.00000000269145,4.53127652087662,4.53127652087662,0.2616133,-5.82340180952577,2.5771399999999987,4.11138011711929
0.0,-120.00000000038987,4.6392656960543,4.6392656960543,0.14671192640000003,-8.33534580368194,2.7635130900000022,4.41461526055954
0.0,-116.99999999808831,4.8560350862038,4.8560350862038,0.0633659840999996,-11.981438159689,2.995803290000001,4.76513293382495
0.0,-114.0000000015163,4.9489351843712,4.9489351843712,0.06476943999999978,-11.8862985786291,3.060543560000001,4.85798565090885
0.0,-110.99999999921471,4.7210568570311,4.7210568570311,0.1390277199999999,-8.56898599438006,2.8265252500000018,4.51252869465937
0.0,-108.00000000264272,4.22669639054726,4.22669639054726,0.1888252325000001,-7.2393997188484,2.457661000000001,3.90521977825142
0.0,-105.00000000034115,3.70823054485741,3.70823054485741,0.14210794000000007,-8.47381656049651,2.2065677600000018,3.437172684441
0.0,-101.99999999803956,3.25297396071213,3.25297396071213,0.0645711999999993,-11.899611425312,2.050365610000002,3.11831308981648
0.0,-99.00000000146755,2.54290313050029,2.54290313050029,0.006396744400000062,-21.940410023991,1.7895370099999979,2.52740684605076
0.0,-95.99999999916598,1.52506949317755,1.52506949317755,0.005428786100000011,-22.6529726967601,1.4152861600000004,1.50844259750129
0.0,-93.00000000259399,0.622621283073254,0.622621283073254,0.02055845089999992,-16.8700961297093,1.13359121,0.544564696818031
0.0,-90.0000000002924,0.186284900412693,0.186284900412693,0.022021912900000173,-16.5714495939551,1.021805,0.0936802348530975
0.0,-86.99999999799083,-0.199772868259589,-0.199772868259589,0.012882132499999956,-18.9001223819339,0.9421604,-0.258751535714687
0.0,-84.00000000141883,-0.856438611608572,-0.856438611608572,0.014402101300000128,-18.4157413870908,0.8066224399999998,-0.933297002150687
0.0,-80.99999999911725,-1.41330337252766,-1.41330337252766,0.014938562499999962,-18.2569119156708,0.7072816900000009,-1.50407584721019
0.0,-78.00000000254525,-1.19186307088617,-1.19186307088617,0.02976712609999985,-15.262630927688,0.7302330500000006,-1.36538514980091
0.0,-75.00000000024367,-0.711929117844761,-0.711929117844761,0.03259765640000021,-14.8681362229815,0.8162057000000001,-0.882003766420139
0.0,-71.9999999979421,-0.595217189345023,-0.595217189345023,0.01653879557880994,-17.8149612069172,0.8553845,-0.678386236436908
0.0,-69.00000000137008,-0.510480812067802,-0.510480812067802,0.025720988900000186,-15.8971233802009,0.8633816899999999,-0.637971657982161
0.0,-65.99999999906852,-0.144783284018725,-0.144783284018725,0.08663604999999978,-10.6230135673257,0.8805759400000002,-0.552331849541493
0.0,-63.00000000249652,0.0410602213429624,0.0410602213429624,0.14586925000000003,-8.36036250003907,0.8636300500000001,-0.636722548022212
0.0,-60.00000000019494,-0.169170198933735,-0.169170198933735,0.15195752999999987,-8.18277774317689,0.8098384999999999,-0.916015805682208
0.0,-56.999999997893354,-0.322603935652207,-0.322603935652207,0.15413778560000005,-8.12090884539116,0.7742717800000004,-1.11106569244309
