phi,theta,gain_total,gain_total_db,gain_phi,gain_phi_db,gain_theta,gain_theta_db
0.0,-65.99999999906852,-8.33508724641914,-8.33508724641914,0.007541651156000088,-21.2253356004072,0.13917900999999983,-8.56426257028145
0.0,-63.00000000249652,-9.36434015734741,-9.36434015734741,0.009350710099999915,-20.2915540722358,0.10641128,-9.73012332735531
0.0,-60.00000000019494,-9.76256303969558,-9.76256303969558,0.013993299999999854,-18.5407985500163,0.09162610000000083,-10.3798079847837
0.0,-56.999999997893354,-9.57121701279279,-9.57121701279279,0.015103236999999851,-18.209299626024,0.09527368999999923,-10.2102701400353
0.0,-54.00000000132136,-9.75008487164501,-9.75008487164501,0.00922722249999997,-20.3492900693219,0.09669608000000066,-10.1459113159307
0.0,-50.99999999901978,-10.139212278585,-10.139212278585,0.004249889800000049,-23.7162233109613,0.09259545999999953,-10.3341030646368
0.0,-48.00000000244778,-9.80176057660934,-9.80176057660934,0.007319884100000054,-21.3549579532534,0.09735052999999985,-10.1166167973256
0.0,-45.0000000001462,-9.44473979711501,-9.44473979711501,0.012383068100000113,-19.071717386909,0.10125557000000003,-9.9458107721227
0.0,-41.999999997844625,-10.1021651918857,-10.1021651918857,0.013437243699999964,-18.7168980633007,0.08423776999999959,-10.7449313861167
0.0,-39.000000001272625,-11.1445688147706,-11.1445688147706,0.013500603399999868,-18.6964682058395,0.06333156999999938,-11.9837974560785
0.0,-35.99999999897105,-11.1877648667265,-11.1877648667265,0.01335839860000012,-18.7424560180572,0.06271336999999946,-12.0263986111144
0.0,-33.00000000239904,-10.6910633956259,-10.6910633956259,0.013154075299999912,-18.8093967636753,0.07213505000000081,-11.4185366284165
0.0,-30.00000000009747,-11.1791111049792,-11.1791111049792,0.013586340500000104,-18.6689750534826,0.06263715999999998,-12.0316794163162
0.0,-27.000000000087724,-11.9929604283171,-11.9929604283171,0.017949378100000014,-17.4595059401698,0.045248712499999774,-13.4439377363227
0.0,-24.000000000077975,-11.6813004087255,-11.6813004087255,0.02358184000000007,-16.2742231159587,0.044318188900000395,-13.5341799572564
0.0,-21.000000000068226,-11.3221090095077,-11.3221090095077,0.021274820899999828,-16.7213408729363,0.0524797769000005,-12.8000801988439
0.0,-18.00000000005848,-12.5450699133098,-12.5450699133098,0.014728405000000042,-18.3184428215974,0.04092516249999995,-13.8800958747587
0.0,-15.000000000048734,-14.684097007073,-14.684097007073,0.01603591809999989,-17.9490617048144,0.01797280289999989,-17.4538418838467
0.0,-12.000000000038987,-14.2665865588944,-14.2665865588944,0.031735210000000014,-14.9845862350287,0.005705264500000039,-22.437242165871
0.0,-9.00000000002924,-12.3327577723164,-12.3327577723164,0.05186105000000042,-12.8515869457419,0.006580835999999941,-21.8171893205102
0.0,-6.000000000019494,-11.9464676996359,-11.9464676996359,0.051778809999999786,-12.8584793490486,0.012099472399999946,-19.1723356677151
0.0,-3.000000000009747,-13.0093929752127,-13.0093929752127,0.03722981810000045,-14.291090856822,0.012780625000000035,-18.934479077258
0.0,-2.5444437451704546e-14,-14.1470576127101,-14.1470576127101,0.0340309624999999,-14.6812576755046,0.004454281000000038,-23.5122238880625
0.0,3.000000000009747,-14.6427062855132,-14.6427062855132,0.034257699999999655,-14.6524179813756,7.669280799999999e-05,-41.1524536085366
0.0,6.000000000019494,-13.2572866146107,-13.2572866146107,0.04122082000000009,-13.8488337311156,0.006014986900000038,-22.2076531417017
0.0,9.00000000002924,-11.9987032481112,-11.9987032481112,0.04221145000000001,-13.7456972919639,0.020903126900000023,-16.7978874289186
0.0,12.000000000038987,-13.4937706920075,-13.4937706920075,0.028539034900000017,-15.4456071744041,0.016193440399999967,-17.9066087280291
0.0,15.000000000048734,-14.4637647146026,-14.4637647146026,0.01736452489999999,-17.6033709465273,0.018414090400000176,-17.3484972910433
0.0,18.00000000005848,-13.2133232944242,-13.2133232944242,0.018615174400000118,-17.3013289065145,0.029101225600000207,-15.3608872028871
0.0,21.000000000068226,-12.409866697035,-12.409866697035,0.02638316359999981,-15.7867312950059,0.031030244849000174,-15.0821479753378
0.0,24.000000000077975,-12.707569403618,-12.707569403618,0.02755915560000001,-15.5973409314607,0.026050505234559772,-15.8418384939119
0.0,27.000000000087724,-12.7022994299222,-12.7022994299222,0.021224032400000172,-16.731721000437,0.03245072089999992,-14.887756508077
0.0,30.00000000009747,-11.525701324715,-11.525701324715,0.018578608100000064,-17.3098682624835,0.051798248899999844,-12.8568492183627
0.0,33.00000000239904,-10.7016729123872,-10.7016729123872,0.020927879999999965,-16.7927476358362,0.06415314410000056,-11.9278205430355
0.0,35.99999999897105,-10.4700942830725,-10.4700942830725,0.021173977600000178,-16.7419755069728,0.06856695360000002,-11.638851456214
0.0,39.000000001272625,-10.3810462305277,-10.3810462305277,0.019229979599999978,-17.1602117647978,0.07236999999999941,-11.4044142737395
0.0,41.999999997844625,-10.3617826879648,-10.3617826879648,0.01968225999999977,-17.0592503551969,0.07232492239999934,-11.4071202364984
0.0,45.0000000001462,-10.7030347206932,-10.7030347206932,0.020440170000000046,-16.8951549651409,0.06461417960000011,-11.8967216549895
0.0,48.00000000244778,-11.1871759937331,-11.1871759937331,0.01634571250000004,-17.8659614402982,0.059736371600000684,-12.2376116007059
0.0,50.99999999901978,-11.0699020582271,-11.0699020582271,0.010895893200000045,-19.6273716230335,0.06726864999999957,-11.7218728799185
0.0,54.00000000132136,-10.4676618516546,-10.4676618516546,0.014346548099999919,-18.4325258126174,0.07544465999999982,-11.2237149431922
0.0,56.999999997893354,-10.1326382381884,-10.1326382381884,0.020087968400000173,-16.9706398347496,0.07690408999999976,-11.1405056244569
0.0,60.00000000019494,-9.79563356807966,-9.79563356807966,0.018816086899999918,-17.2547068985867,0.08600210000000044,-10.6549094402065
0.0,63.00000000249652,-9.26078570466111,-9.26078570466111,0.012486744400000098,-19.0355077807238,0.10606868000000001,-9.74412835808298
0.0,65.99999999906852,-8.76293071775636,-8.76293071775636,0.008354969999999995,-20.7805510517907,0.1246007200000001,-9.0447944811727
0.0,69.00000000137008,-8.34978776860669,-8.34978776860669,0.006508413,-21.86524896127,0.13971645,-8.54752457710868
0.0,71.9999999979421,-7.89175118655731,-7.89175118655731,0.004616292500000023,-23.3570668098071,0.15787304999999985,-8.01692000677119
0.0,75.00000000024367,-7.44001593570884,-7.44001593570884,0.003468942499999991,-24.5980289881452,0.17683216999999982,-7.52438723584523
0.0,78.00000000254525,-7.20855346916673,-7.20855346916673,0.003016588899999978,-25.2048387133862,0.18715456999999996,-7.27799563678866
0.0,80.99999999911725,-6.95113286463992,-6.95113286463992,0.0015100538000000154,-28.2100757944398,0.20027393999999987,-6.98375558197722
0.0,84.00000000141883,-6.68127255157465,-6.68127255157465,0.0004063617999999982,-33.9108712461429,0.2143137600000002,-6.68949944216099
0.0,86.99999999799083,-7.02514106772574,-7.02514106772574,0.0016415419690000003,-27.8474800926598,0.19673298000000014,-7.061228295499
0.0,90.0000000002924,-7.88779680668229,-7.88779680668229,0.005267501236000002,-22.7839535381423,0.15736985999999983,-8.03078441539152
0.0,93.00000000259399,-8.03119141376417,-8.03119141376417,0.004823382799999955,-23.1664826962892,0.15253172999999992,-8.16639803985912
0.0,95.99999999916598,-7.38761325713109,-7.38761325713109,0.0006171832249999965,-32.0958588654431,0.1818726499999999,-7.40232605208855
0.0,99.00000000146755,-7.38474312251253,-7.38474312251253,9.007567400000078e-05,-40.4539247954249,0.18252040000000005,-7.38688588126407
0.0,101.99999999803956,-7.91965900337048,-7.91965900337048,0.0010252817000000077,-29.8915679417191,0.16042324999999985,-7.94732689574492
0.0,105.00000000034115,-7.31304431197489,-7.31304431197489,0.00801596090000002,-20.9604440985952,0.17763430210000003,-7.50473165954429
0.0,108.00000000264272,-6.2990843772853,-6.2990843772853,0.007436601999999999,-21.28625460926,0.2270357081,-6.43905831744357
0.0,110.99999999921471,-6.25733824596412,-6.25733824596412,6.433940499999983e-05,-41.9152295969783,0.2366726800000001,-6.25851871390838
0.0,114.0000000015163,-6.7368459953499,-6.7368459953499,0.006587930000000066,-21.8125102407047,0.2054020824999999,-6.87395157556298
0.0,116.99999999808831,-6.41234880849653,-6.41234880849653,0.029719324099999864,-15.2696107186228,0.19871697689999998,-7.01765028415928
0.0,120.00000000038987,-5.59421412900902,-5.59421412900902,0.0469154600000004,-13.2868402111629,0.22887458588900017,-6.40402428474124
0.0,123.00000000269145,-5.62832857986736,-5.62832857986736,0.025227450000000026,-15.9812664591119,0.24840471208900014,-6.04840170110429
0.0,125.99999999926347,-5.86848207479877,-5.86848207479877,0.010594999299999916,-19.7489906764655,0.24831676999999996,-6.04993949504943
0.0,129.00000000156504,-5.91094003043571,-5.91094003043571,0.010715958500000126,-19.6996897696527,0.24567694289999997,-6.09635600708268
0.0,131.99999999813704,-5.74977580082015,-5.74977580082015,0.03171162439999966,-14.987815110512,0.23437461760000028,-6.30089423512079
0.0,135.0000000004386,-5.68313585169985,-5.68313585169985,0.04188711290000029,-13.7791957267313,0.22831355290000002,-6.4146830762942
