2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	0.8901179185	1.11678347285456	-11.2349134590961	0.856427599153496	0.294599297096283	-0.502680452450971
902000000	0.9424777961	0.893042364861231	-12.9226370908274	0.708797218834496	0.301294948022269	-0.546836761149897
902000000	0.9948376736	0.691387863828574	-14.8933690321778	0.569662615676766	0.387159604572582	-0.579249125637109
902000000	1.0471975512	0.5632794961338	-16.4693629734083	0.476412223064883	0.616618487346381	-0.601287892510889
902000000	1.0995574288	0.55074412518879	-16.1656190902171	0.457243474155462	0.956856565687605	-0.615529210470655
902000000	1.1519173063	0.66830371046081	-13.9314592405493	0.515036648533361	1.19536848549617	-0.625650575042471
902000000	1.2042771839	0.897829233305944	-11.399958395816	0.634120653482394	1.27289834025916	-0.635227615320494
902000000	1.2566370614	1.1818325102104	-9.39193977148505	0.783571327673507	1.25417393257249	-0.646881943865409
902000000	1.308996939	1.44614195106421	-8.05795324719217	0.929801615701441	1.18639252388685	-0.66183119075219
902000000	1.3613568166	1.63020257053194	-7.36345187335212	1.04493615438125	1.09399432937032	-0.679684404778865
902000000	1.4137166941	1.70616638344374	-7.21362965613644	1.11014034213216	0.994757767663455	-0.698794591977594
902000000	1.4660765717	1.67407386860145	-7.50845832791351	1.11539036233383	0.909586609251075	-0.716687151668298
902000000	1.5184364492	1.54794499197035	-8.14812848170228	1.05524916470187	0.86352803404476	-0.73057701185261
902000000	1.5707963268	1.35183615150542	-8.9816274372335	0.9297803696692	0.881999644345256	-0.737603524800243
902000000	1.6231562044	1.11960316439818	-9.74512506519091	0.748285956026226	0.975894931408811	-0.735099604086131
902000000	1.6755160819	0.890845653274202	-10.1129971976181	0.531731938967399	1.12104666229097	-0.721236819028305
902000000	1.7278759595	0.700596214443213	-10.0085409766645	0.31511604012785	1.2643614232928	-0.695195133971013
902000000	1.780235837	0.573481165164781	-9.65623244035233	0.140695834816592	1.37024138930531	-0.658221267280786
902000000	1.8325957146	0.523923859542629	-9.28059066610937	0.0440750604641153	1.44224586575367	-0.613668426920737
902000000	1.8849555922	0.554544652404492	-8.93602127251835	0.0364932730588315	1.50236715992691	-0.566568830151187
902000000	1.9373154697	0.647760051304096	-8.58446286998477	0.0958540426917749	1.56929767128066	-0.521489179502516
902000000	1.9896753473	0.762027725731921	-8.19746207234272	0.171810285944504	1.64798800436287	-0.480879721759176
902000000	2.0420352248	0.841323238107621	-7.8372174904429	0.208649254306306	1.73168139817618	-0.44421774001308
902000000	2.0943951024	0.82925815847936	-7.62498329889263	0.160333533724507	1.81239080935862	-0.40878472320371
902000000	2.14675498	0.695268320514887	-7.66116651598623	0.00984076926450154	1.88949112294113	-0.370508565183682
902000000	2.1991148575	0.448675407591634	-7.94049393926769	-0.231180404119183	1.97080722675684	-0.325517748838434
902000000	2.2514747351	0.150183689284902	-8.28454174370569	-0.521999293049667	2.06869302359797	-0.271020747984362
902000000	2.3038346126	-0.111314266385375	-8.38324147186399	-0.811355440941409	2.1868344118943	-0.206331391424373
902000000	2.3561944902	-0.253362341076146	-8.00068289409112	-1.05204561394563	2.31141647604659	-0.133021453568913
902000000	2.4085543678	-0.253355193615104	-7.22027459589909	-1.2281692040577	2.42086176197337	-0.0535305384048327
902000000	2.4609142453	-0.165348536625504	-6.38443763081912	-1.35053884599154	2.50897836281821	0.030518805667202
902000000	2.5132741229	-0.101588884635352	-5.83720589707801	-1.45028339764747	2.58726930022953	0.119400766787281
902000000	2.5656340004	-0.15568111411627	-5.76131253836966	-1.55269621762809	2.67334398321211	0.214726188461939
902000000	2.617993878	-0.342675137781352	-6.15872771833961	-1.66244333030211	2.78410629027613	0.317231936149939
