2
Frequency=5040(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-16.4659725518051	-16.5856206241486	-32.12444529526	-1.31943320429153	-1.08962883426821
0	-3.089232776	-14.2373944068996	-14.7633750187122	-23.6658765283184	-1.29233881578111	-2.84410285996907
0	-3.0368728985	-11.7436450145064	-11.7462990918495	-43.8836793527343	-1.08657050918579	2.17788389379239
0	-2.9845130209	-9.80863339495771	-9.98672568463683	-23.7687671867475	-0.56435599584444	-0.0342515777787447
0	-2.9321531434	-8.45088131594887	-8.45325362195087	-41.0782034516657	0.208269040661422	0.88684321104084
0	-2.8797932658	-6.57152791470163	-6.77082012119272	-20.0537329295191	0.890743168655793	2.73548535157315
0	-2.8274333882	-5.78381761882242	-6.08698641241314	-17.4955184021844	1.54290033933162	2.90486699801291
0	-2.7750735107	-3.01190696978869	-3.29074905431661	-15.0748419740189	2.03627292323957	-3.0461569592232
0	-2.7227136331	0.0747899642188098	-0.318871673026935	-10.547166331926	2.06873556656331	-2.92841053090571
0	-2.6703537556	1.3044641630698	0.642818995353872	-7.19375084316213	1.91404515476803	-2.8398958872423
0	-2.617993878	0.573188565895226	-0.755429584318802	-5.21803923626065	1.77422493141425	-2.7082042239697
0	-2.5656340004	-0.67758391233412	-3.29955073155417	-4.11438102095092	1.80797345310756	-2.65697261535403
0	-2.5132741229	-0.569431102831116	-3.74584555245499	-3.41973694412406	2.0197816243568	-2.71501423660451
0	-2.4609142453	0.25882352560231	-2.91464192758994	-2.59421977523816	2.08381819206533	-2.76529182406667
0	-2.4085543678	0.467933204311891	-3.31179139972364	-1.8889611057217	1.9832822223736	-2.77124196092485
0	-2.3561944902	0.111688590904083	-4.29555546390587	-1.84332520034561	1.79266668458626	-2.81757435206401
0	-2.3038346126	-0.505692404386694	-5.42335730391347	-2.19519012013837	1.62154725058123	-2.92844002631658
0	-2.2514747351	-1.10732469576195	-7.98324513585701	-2.10534166797771	1.51257490832945	-3.02805204686777
0	-2.1991148575	-1.17133701209296	-10.716612940042	-1.68250601391694	1.41153066510317	-3.10673915135287
0	-2.14675498	-0.993108740327769	-9.10748127732712	-1.72130463391176	1.23433696950371	3.04368302917333
0	-2.0943951024	-0.977613202878113	-6.58875745694583	-2.37253837109564	0.977108601505159	2.8656937119942
0	-2.0420352248	-1.49946843736445	-6.42780231990907	-3.18390184960439	0.642033912193596	2.73753442146319
0	-1.9896753473	-2.19046527280546	-7.3121632514961	-3.78620125478738	0.421499529932313	2.68347749160045
0	-1.9373154697	-2.30257008666248	-6.43354920852365	-4.42286647378332	0.537721762129685	2.63194057812439
0	-1.8849555922	-1.79368204360598	-4.02965960128438	-5.74697840167904	0.519008036292532	2.58751271009415
0	-1.8325957146	-1.85461724094083	-3.19262075745589	-7.61972725074792	0.254015827772797	2.64406882157241
0	-1.780235837	-2.81117573384399	-4.1842065022897	-8.48065964196243	0.00745655598964121	2.83579372675653
0	-1.7278759595	-3.82957739421025	-6.06715037501771	-7.7805056002399	0.0460624028223424	3.0477729565162
0	-1.6755160819	-3.35227974788268	-6.12869816255947	-6.60977701744224	0.184885190939616	-3.04882443850496
0	-1.6231562044	-2.43757676697299	-5.86779563738694	-5.0650040371895	0.017048269535399	-2.95635476302575
0	-1.5707963268	-1.6442982090892	-7.23361021440171	-3.04752156924118	-0.275772497339328	-3.02496432876831
0	-1.5184364492	-0.571817688316218	-10.2135237686134	-1.07109086294322	-0.390677558100137	3.12107052943388
0	-1.4660765717	0.355026567506652	-12.2233414145483	0.108294433164861	-0.231167851872948	2.98401011798095
0	-1.4137166941	0.779021237119205	-13.0285775073697	0.594425559004857	-0.327178428699732	2.82616178353113
0	-1.3613568166	1.22281734643902	-15.8669859096863	1.13709719221649	-0.930948873435236	2.65581538721093
0	-1.308996939	1.83722912860423	-17.8121180577043	1.78989064227792	-1.93296964419511	2.50933818149724
0	-1.2566370614	2.05159207537638	-18.1460715705896	2.00989543049361	-2.74323478085513	2.35159398404902
0	-1.2042771839	1.82667137345689	-16.9702310388582	1.76899810795787	3.11822358464926	2.14241808132826
0	-1.1519173063	1.4950651797012	-13.8929724149107	1.36761588612357	-3.14138012884052	1.92218764757922
0	-1.0995574288	1.09771784640263	-10.7665020185847	0.805371515834509	-3.13058100887853	1.72581558173417
0	-1.0471975512	0.73126825328875	-8.80217641308654	0.218619168490174	3.01108008456609	1.51690325180815
0	-0.9948376736	0.380707081544992	-7.89888508427798	-0.317994813724944	2.86264501704765	1.29189824086931
0	-0.9424777961	-0.552567799803914	-8.13628435443423	-1.38504390635731	2.83896655286613	1.06270671986883
0	-0.8901179185	-1.91330226250005	-8.47266236496902	-2.99699680563185	2.89265129674564	0.777310471545048
0	-0.837758041	-2.46301550530331	-7.50281461498371	-4.09561740720466	2.86208739073738	0.476619002133327
0	-0.7853981634	-2.60866886814229	-6.20196824840575	-5.10504958984287	2.79051855186909	0.266283621783757
0	-0.7330382858	-3.41828697876229	-6.08881433405846	-6.79721533934364	2.76486690604121	0.0242787550205435
0	-0.6806784083	-4.21765284733933	-6.95313545351736	-7.52134216419421	2.74591086389621	-0.313180624376667
0	-0.6283185307	-4.54701173564946	-7.82159028269752	-7.30819675243114	2.69720518333891	-0.528007661543403
0	-0.5759586532	-5.60555367375839	-8.86059554135191	-8.38417120090224	2.68551126090757	-0.754946955044337
0	-0.5235987756	-6.7389513453426	-10.2981115387258	-9.26203776823782	2.69887596487301	-1.23113312715544
0	-0.47123889804	-6.31495687651902	-10.9009047487022	-8.17155232657021	2.59407424718211	-1.56032015357077
0	-0.41887902048	-6.36901336053025	-10.9774531262639	-8.21365877965245	2.47912171241486	-1.66800577887428
0	-0.36651914292	-7.77875274457416	-12.7653381964323	-9.43585606826259	2.56806081991148	-1.89563936500767
0	-0.31415926536	-8.59337512604678	-14.5218598105319	-9.87390692116704	2.76464420655328	-2.23823599689219
0	-0.2617993878	-9.12834331101816	-14.1879330875092	-10.7519439922226	2.62317706900623	-2.415723486489
0	-0.20943951024	-12.1856325305752	-18.0279722477699	-13.4961038645305	2.41302452760189	-2.60660744162013
0	-0.15707963268	-13.4028103497019	-17.7684992680146	-15.3816292850062	-0.721092801347456	3.11018617013493
0	-0.10471975512	-7.55308678181626	-8.54604523114082	-14.4486430145362	-0.656233821766584	2.50263025122832
0	-0.05235987756	-6.41183972418367	-7.25768373142931	-13.932840120139	-0.404104480246204	2.07141713032712
0	-4.4408920985E-16	-6.32786212144595	-7.11052059836356	-14.1554362185473	-0.21480533097092	2.03211644821321
0	0.05235987756	-5.9447541584809	-6.69866924343044	-13.9208786780967	2.70821830075997	-0.717568553832109
0	0.10471975512	-6.45163915608014	-7.2087742837578	-14.4108174105555	2.39236238810474	-0.506664687082169
0	0.15707963268	-11.0766151423771	-11.7222215243966	-19.6735851381462	2.2663738602985	-0.716628357834083
0	0.20943951024	-18.6064414562366	-19.5735081336827	-25.6042848445567	2.6763696392671	-1.52943469806308
0	0.2617993878	-17.2387361913873	-18.4140466483867	-23.4894637489688	2.88166107852835	-1.42964320016299
0	0.31415926536	-15.0096291982279	-17.9475231435974	-18.0935628229502	2.66601016159714	-1.21399915269359
0	0.36651914292	-15.5499732493133	-24.412314841697	-16.1545155382876	2.93249581224143	-1.11208921875848
0	0.41887902048	-17.5414578287495	-26.0446016476594	-18.2022924118032	-2.55258882665891	-0.80408381540982
0	0.47123889804	-21.5156159561338	-23.6405074203446	-25.6393044194661	-2.76817395041019	-0.662873039052989
0	0.5235987756	-18.6758997323795	-21.7358678690963	-21.63709312327	-2.08788239972518	-2.45470778095755
0	0.5759586532	-13.1329542051591	-15.9177030010599	-16.3811641237203	-1.47734677033143	-2.34454000623052
0	0.6283185307	-13.2403024719685	-14.6813412529799	-18.7320034882996	-1.2949687770072	-1.9183195828795
0	0.6806784083	-14.4615007075612	-14.8976126330924	-24.6595955725615	-1.08716480227698	-1.65984773424414
0	0.7330382858	-11.2699963078673	-11.7901705406896	-20.7438425096694	-0.976434679840524	-2.82497520600203
0	0.7853981634	-8.33707501449118	-9.32904843495105	-15.2364678762098	-0.974675041515529	-2.92209636030581
0	0.837758041	-8.70360672867159	-9.61248059802054	-15.9429282664949	-0.885002979310338	-2.85439863821732
0	0.8901179185	-9.56941936433259	-10.1676046574854	-18.4745653362336	-0.65601012872753	-2.8629127138867
