1
Frequency	E Total. dB
902000000	3.46930755232007
915000000	3.69153137491745
928000000	3.47887165026898
960000000	3.44442165556289
1700000000	3.94483511845321
2100000000	3.62259694672432
3300000000	6.71392753285038
3400000000	6.687959077197
3500000000	6.76064373310138
3800000000	6.62400364100654
5040000000	5.48471551607952
5060000000	5.13731174431261
5080000000	4.59439337765311
5500000000	4.28634827883832
