2
Frequency=915(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-3.12948445364702	-3.69559248893862	-12.2583141244631	2.4174793148492	0.758424724364342
0	-3.089232776	-4.29550301477349	-4.77335297376681	-14.1171650740592	2.40558394988616	0.377393414561988
0	-3.0368728985	-5.96809305636534	-6.25390027227241	-17.9273242095682	2.51226770624634	0.0486681631888971
0	-2.9845130209	-6.74095880070567	-6.81219335588547	-24.6274633402667	2.75522792201766	0.245391852095995
0	-2.9321531434	-5.51643375818871	-5.65879131065543	-20.4314560918618	2.95377228184727	1.2695853645847
0	-2.8797932658	-3.74169753164851	-4.13723281910039	-14.3439550631477	2.9927504755399	1.24841918540114
0	-2.8274333882	-2.65972268905852	-3.26420448016037	-11.522469363783	2.93405892902951	1.06146527478139
0	-2.7750735107	-2.47486345357468	-3.2091745025894	-10.5558894299204	2.84935973076306	0.877784642744424
0	-2.7227136331	-2.9258083135153	-3.74851315105815	-10.5560715713444	2.79062489211837	0.765848913596004
0	-2.6703537556	-3.46938270488444	-4.38188362376928	-10.69315750237	2.7939677407669	0.777890433305651
0	-2.617993878	-3.51693610618734	-4.54801965775147	-10.2671873818168	2.84840575703191	0.87568226773488
0	-2.5656340004	-3.08345811521399	-4.21772384496006	-9.4689496159802	2.89484031371345	0.949786069121237
0	-2.5132741229	-2.7537572837773	-3.93871695889273	-8.97358150428578	2.9008507680437	0.970636267543927
0	-2.4609142453	-2.90608818227964	-4.15841973778796	-8.91786748400519	2.88455647670958	0.991775981286624
0	-2.4085543678	-3.43594248097335	-4.91265086652339	-8.83829094324476	2.88619547679562	1.07584319175124
0	-2.3561944902	-3.7819228938923	-5.79166213535225	-8.0945563366944	2.94534318125767	1.21113402031051
0	-2.3038346126	-3.4188884342338	-6.12109745291481	-6.76081578373907	3.06242015490736	1.3097590304734
0	-2.2514747351	-2.5462665229344	-5.63764333833108	-5.47697551792343	-3.10562578848678	1.32736684910569
0	-2.1991148575	-1.65397269321629	-4.80567817527803	-4.52732645030955	-3.03664653955671	1.28377548792828
0	-2.14675498	-0.937943460879794	-4.10322663943497	-3.79860091591101	-3.00505078292667	1.21671994716512
0	-2.0943951024	-0.379260255070167	-3.64867333544423	-3.14503998311654	-2.99134800123923	1.1578513018123
0	-2.0420352248	0.0512287883196874	-3.3563310831509	-2.59512370112435	-2.98808176766655	1.11498696546791
0	-1.9896753473	0.319030963800171	-3.14712923562238	-2.27874555091481	-2.99510381525541	1.07522610840413
0	-1.9373154697	0.389845343052317	-3.02839277700998	-2.24756589415794	-3.00855414787167	1.02613382188581
0	-1.8849555922	0.316339247430749	-3.04163141915658	-2.37207132107071	-3.01700879990983	0.974302054774721
0	-1.8325957146	0.229750359399573	-3.16150843826478	-2.43032980499263	-3.00895553579341	0.943011536076051
0	-1.780235837	0.253083194313706	-3.26888324667634	-2.29952885212628	-2.98343804163145	0.946608302689584
0	-1.7278759595	0.388027060667146	-3.26055921910024	-2.06588741081334	-2.95344604496151	0.967137015362577
0	-1.6755160819	0.505328345208738	-3.16755276626922	-1.93022437382886	-2.93462300833293	0.971294005040202
0	-1.6231562044	0.500653803653178	-3.11076110570459	-1.98170677323059	-2.92941017033508	0.943376254089268
0	-1.5707963268	0.409457399507926	-3.16171169912409	-2.10419224383463	-2.92666988546175	0.899796288422089
0	-1.5184364492	0.3514770745463	-3.25992558486505	-2.13089294794379	-2.91299381402531	0.878070778812523
0	-1.4660765717	0.390300013056975	-3.27954981360413	-2.04753388585838	-2.88511536412415	0.899139353918066
0	-1.4137166941	0.471497219090505	-3.16832367179562	-1.98908648353717	-2.85227399332902	0.94369172638588
0	-1.3613568166	0.450850728501476	-3.03370624594845	-2.131920877643	-2.82656845514831	0.973505515864749
0	-1.308996939	0.230590999779489	-3.03475265219453	-2.53881578963898	-2.81127613388898	0.96499751206019
0	-1.2566370614	-0.144726573560723	-3.22689152735323	-3.08433138907191	-2.80328929373519	0.923301515086718
0	-1.2042771839	-0.562723236319875	-3.5262120656636	-3.62034438429849	-2.79986089775733	0.874232136269882
0	-1.1519173063	-0.9649690234937	-3.79969927893464	-4.1582364505886	-2.80245467698127	0.83072297834688
0	-1.0995574288	-1.35836808275594	-4.02107868901431	-4.74651617052111	-2.81471754598159	0.768177440089911
0	-1.0471975512	-1.70192114163834	-4.30756925207368	-5.15848672038125	-2.83879594444976	0.650527941848319
