1
Frequency	Efficiency	Efficiency . dB
902000000	0.778962902285497	-1.08483224890132
915000000	0.800909885822494	-0.964163457030823
928000000	0.805336987301654	-0.940223542887651
960000000	0.756671843087811	-1.21092426491144
1700000000	0.791420002131973	-1.01592977691716
2100000000	0.61373590575722	-2.12018468184086
3300000000	0.692163995086133	-1.59790995539004
3400000000	0.709512787088148	-1.49039773128594
3500000000	0.840838281548467	-0.752875240411946
3800000000	0.814908603570424	-0.888910970156529
5040000000	0.469602875031946	-3.28269252887599
5060000000	0.439105455111571	-3.57431167518392
5080000000	0.408461181124615	-3.8884921116205
5500000000	0.447830387645173	-3.48886440594288
