2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
915000000	-2.0943951024	-5.41015684449879	-12.2905046707259	-6.40703073165723	-1.10733281204827	2.75751403105286
915000000	-2.0420352248	-5.95527992671303	-13.1066440905308	-6.88488712477573	-0.99182395564505	2.7161901795053
915000000	-1.9896753473	-6.17901530338618	-13.3876856029203	-7.09505547276255	-0.861764765667684	2.66853141437598
915000000	-1.9373154697	-5.87186414723984	-12.9630934055863	-6.81594855316643	-0.767469917769484	2.62361552532666
915000000	-1.8849555922	-5.31001317713926	-12.2908461543115	-6.28133290541422	-0.724522758200707	2.58314626014564
915000000	-1.8325957146	-4.91287417589497	-11.8931560720224	-5.88433203754054	-0.706067096652628	2.53606044219945
915000000	-1.780235837	-4.84322083176901	-11.9589322620133	-5.78138122896298	-0.67901071825615	2.47298977278277
915000000	-1.7278759595	-4.93973401429076	-12.3210238398191	-5.81621520524723	-0.618712798755985	2.39833736540151
915000000	-1.6755160819	-4.90035925335365	-12.6150507612246	-5.70566017861519	-0.52158422888332	2.33191549654525
915000000	-1.6231562044	-4.5758469881009	-12.5962485353942	-5.32141895627369	-0.406638626754989	2.28802927191209
915000000	-1.5707963268	-4.08138992813154	-12.3823531563397	-4.776372336938	-0.297673092170326	2.25455042323823
915000000	-1.5184364492	-3.60665583353263	-12.1932771332527	-4.25392313989876	-0.197195979769026	2.20643154912099
915000000	-1.4660765717	-3.20680351693522	-12.0662488689774	-3.81177854001472	-0.10138506007742	2.1328151066828
915000000	-1.4137166941	-2.80519220026597	-11.8336421825545	-3.38546176683371	-0.0189430463400936	2.04593464652212
915000000	-1.3613568166	-2.3444038889944	-11.3807220456197	-2.92354986934616	0.0335185989503791	1.96908785224836
915000000	-1.308996939	-1.87380015406822	-10.7722258491923	-2.47297873893573	0.0543251726553323	1.91226429361728
915000000	-1.2566370614	-1.48289243516089	-10.1708600024565	-2.11408991600971	0.0605398238835525	1.86402469600039
915000000	-1.2042771839	-1.21824364823111	-9.69363852251911	-1.88365577594082	0.0690455172749336	1.80586298891472
915000000	-1.1519173063	-1.05706993203488	-9.35926569037469	-1.75183848203164	0.0817507854019674	1.73164066809947
915000000	-1.0995574288	-0.944635290003337	-9.13331081604049	-1.65940331132488	0.086597017647613	1.6515892271921
915000000	-1.0471975512	-0.855043605585533	-9.00823797891579	-1.57618987060808	0.0703587823720983	1.58140863821883
915000000	-0.9948376736	-0.785595243735434	-8.9986089864616	-1.49602351562612	0.0309740208907047	1.52505586602581
915000000	-0.9424777961	-0.710626343256249	-9.07700199583628	-1.39435666919435	-0.0215694643833312	1.4715482649986
915000000	-0.8901179185	-0.587565860932626	-9.15732450367949	-1.2375494177863	-0.07365071209548	1.40771399715021
915000000	-0.837758041	-0.401916290790837	-9.13167293637039	-1.02661288010484	-0.119087999894331	1.33242345282518
915000000	-0.7853981634	-0.20651485159576	-8.97509093338075	-0.825236894618856	-0.163272905742384	1.25572254061778
915000000	-0.7330382858	-0.098047470176985	-8.8088269620187	-0.725687270679231	-0.215753284279604	1.18691860886704
915000000	-0.6806784083	-0.135075371924064	-8.80416745734233	-0.769232998923016	-0.278708443303192	1.12576644715887
915000000	-0.6283185307	-0.295414212281819	-9.05646807231422	-0.915289162999593	-0.34283311893652	1.06569438781099
915000000	-0.5759586532	-0.500114992024253	-9.51631038170936	-1.08213917197614	-0.388671047938562	1.00230359588381
915000000	-0.5235987756	-0.680271042354881	-10.036051039659	-1.21570116910894	-0.398845910736313	0.938084593872886
915000000	-0.47123889804	-0.828528550633878	-10.4651430454859	-1.32842244475587	-0.373257882539132	0.877564927385617
915000000	-0.41887902048	-0.961759765793499	-10.7747233683352	-1.44062257829161	-0.335679544823696	0.818958299257011
915000000	-0.36651914292	-1.07343791098262	-11.0561865180854	-1.53293387496194	-0.314342278670799	0.753336230425364
915000000	-0.31415926536	-1.13109557313243	-11.3105776004898	-1.56917830434667	-0.318052638838658	0.672065450927531
915000000	-0.2617993878	-1.12964289915557	-11.3495119196407	-1.56346110637378	-0.333571881195974	0.57621461269166
915000000	-0.20943951024	-1.15039077184313	-11.018940942666	-1.62281987117747	-0.342397251192343	0.474052107121245
915000000	-0.15707963268	-1.31267242493302	-10.4733863974208	-1.87435976623818	-0.345090563711238	0.373294188232391
915000000	-0.10471975512	-1.67905403808255	-10.094167124356	-2.35452872519967	-0.362399943070258	0.275993979942205
915000000	-0.05235987756	-2.19368848866371	-10.1575459699843	-2.94993299865508	-0.418845549051385	0.182604472653831
915000000	-4.4408920985E-16	-2.70088465571043	-10.5624587536668	-3.4768603967729	-0.530235845842587	0.0950804525380193
915000000	0.05235987756	-3.0547916458369	-10.794212166054	-3.85507168024604	2.46322598993061	-3.12645585184658
915000000	0.10471975512	-3.28024341538858	-10.4153717725161	-4.21373483877394	2.34423165483779	3.07860641890184
915000000	0.15707963268	-3.54840850816499	-9.58366032591142	-4.79292287032103	2.30267042108464	2.98880470950412
915000000	0.20943951024	-3.99668472238788	-8.74877606521612	-5.76718957828356	2.31649437614859	2.87121768926932
915000000	0.2617993878	-4.63763483876237	-8.23485625815051	-7.13097137049613	2.33812746555426	2.71189924323778
915000000	0.31415926536	-5.39015337080776	-8.13618369425213	-8.68185177641887	2.33291769875207	2.50564492793457
915000000	0.36651914292	-6.11505517125959	-8.30026041321353	-10.144861817776	2.28497872405883	2.25804163935014
915000000	0.41887902048	-6.61565739654481	-8.41819889558633	-11.3047904257929	2.19748033605801	1.97771474608995
915000000	0.47123889804	-6.74404521630929	-8.27217667511029	-12.021965948324	2.09405737955928	1.66256192058326
915000000	0.5235987756	-6.51608067689306	-7.92219564068133	-12.0978204419058	2.00092636040357	1.31829864126565
915000000	0.5759586532	-6.08618575782006	-7.57426746138269	-11.4605776383072	1.92878318847532	0.98486905491555
915000000	0.6283185307	-5.60403698371291	-7.36790435713498	-10.3693459893316	1.8773316275979	0.707624160870836
915000000	0.6806784083	-5.14709647251501	-7.3122287395285	-9.20777896001865	1.84166864389784	0.497089025145202
915000000	0.7330382858	-4.74107370744224	-7.35726022746428	-8.18485429007686	1.81271983676823	0.335463887681838
915000000	0.7853981634	-4.38239929988151	-7.46466793854394	-7.32190378115107	1.77520907154147	0.195891993427179
915000000	0.837758041	-4.03856563915102	-7.63511410434566	-6.53242415436912	1.71630396588652	0.0578402146526302
915000000	0.8901179185	-3.63741907018518	-7.86269997654871	-5.69939434992948	1.63564580162567	-0.0818319319600259
915000000	0.9424777961	-3.14632803890874	-8.14114232445227	-4.79961378562395	1.54931597433	-0.209357771696183
915000000	0.9948376736	-2.62966639264794	-8.46759742520537	-3.94169161684962	1.4774581059933	-0.311694137467854
915000000	1.0471975512	-2.19559739499684	-8.83562245507112	-3.25669959673709	1.42584471803183	-0.390448770773175
915000000	1.0995574288	-1.89186731751745	-9.20693635812704	-2.78329626035579	1.37889154716392	-0.460874972852484
915000000	1.1519173063	-1.6533333554998	-9.50967508780251	-2.43033345302524	1.31375555749373	-0.538377668179119
915000000	1.2042771839	-1.34556004604324	-9.66676545949955	-2.03703919443207	1.22459935356262	-0.62549642852865
915000000	1.2566370614	-0.897849905167553	-9.69147586506863	-1.51274918699187	1.12898824831324	-0.707890399088884
915000000	1.308996939	-0.377859488133529	-9.68671614913401	-0.919484194912349	1.04586161994506	-0.769676188473805
915000000	1.3613568166	0.0844779708470622	-9.75358621724365	-0.391468264212026	0.970772817088928	-0.809440884465841
915000000	1.4137166941	0.426495960509807	-9.86730888185334	0.000372130997818591	0.881560826221942	-0.838241366816974
915000000	1.4660765717	0.682511309307713	-9.90001057747004	0.285089505510715	0.765281487660993	-0.868152978975623
