phi,theta,gain_total,gain_total_db,gain_phi,gain_phi_db,gain_theta,gain_theta_db
0.0,-180.0000000005848,-14.1672751901906,-14.1672751901906,0.03230019090000034,-14.9079491090197,0.006006309799999964,-22.213922710447
0.0,-176.99999999828322,-2.0628457674659,-2.0628457674659,0.059037289999999666,-12.2887358623004,0.5628553588999999,-2.49603194672895
0.0,-174.00000000171124,-4.25567490606063,-4.25567490606063,0.11649876999999992,-9.33678659917213,0.2588478499999998,-5.86955437933483
0.0,-170.99999999940965,-7.08626340141114,-7.08626340141114,0.09690122000000088,-10.1367075508615,0.09870094609999945,-10.056786843715
0.0,-168.00000000283765,-6.57743626580948,-6.57743626580948,0.05647524999999973,-12.4814183790419,0.16344051999999998,-7.86640264628354
0.0,-165.0000000005361,-2.42023626931031,-2.42023626931031,0.05064266000000017,-12.9548349112296,0.5221222100000005,-2.82227832406433
0.0,-161.9999999982345,-2.30912213731793,-2.30912213731793,0.05468786689999975,-12.621090159493,0.5329202500000002,-2.73337777045315
0.0,-159.0000000016625,-3.51538855952711,-3.51538855952711,0.03552577810000036,-14.4945640120244,0.40957786,-3.87663527470958
0.0,-155.99999999936094,-3.74363910221831,-3.74363910221831,0.013803704099999882,-18.6000435893681,0.40851088999999985,-3.88796361643515
0.0,-153.0000000027889,-1.72360659021983,-1.72360659021983,0.011110686099999918,-19.5425912195528,0.6613073299999997,-1.79596663503625
0.0,-150.00000000048735,-1.36641989090282,-1.36641989090282,0.017790086900000134,-17.4982193049402,0.7122690000000008,-1.47355956991822
0.0,-146.99999999818576,-3.06034442718695,-3.06034442718695,0.018080746100000007,-17.4278365237684,0.47619073999999995,-3.22219054134843
0.0,-144.00000000161376,-4.63056503290637,-4.63056503290637,0.014071562499999869,-18.5165767602285,0.3302335700000002,-4.81178780483575
0.0,-140.9999999993122,-4.32304687018051,-4.32304687018051,0.014795811235999962,-18.2986121802213,0.3547729999999999,-4.50049439565232
0.0,-138.00000000274017,-5.2343078953673,-5.2343078953673,0.01233665359999997,-19.0880262961787,0.28728225000000035,-5.4169120646609
0.0,-135.0000000004386,-6.93702938436024,-6.93702938436024,0.0027198791435600043,-25.6545039319047,0.19972046250000017,-6.99577436904103
0.0,-131.99999999813704,-6.64994718285144,-6.64994718285144,0.0008336945000000012,-30.7899306359536,0.2154407881000002,-6.66672070908952
0.0,-129.00000000156504,-4.67167027058846,-4.67167027058846,0.007929376100000067,-21.00760982542,0.3331323399999999,-4.77383204589566
0.0,-125.99999999926347,-4.4258796568986,-4.4258796568986,0.016550296100000025,-17.8119423189154,0.3443706060999998,-4.62973925027219
0.0,-123.00000000269145,-5.63862464337626,-5.63862464337626,0.016395832400000022,-17.8526652973875,0.2565883828999998,-5.9076301030184
0.0,-120.00000000038987,-5.50906482782301,-5.50906482782301,0.01847784250000012,-17.333487390166,0.26277279610000004,-5.80419597693654
0.0,-116.99999999808831,-4.4416282220416,-4.4416282220416,0.02955588610000005,-15.2935601575777,0.33005859999999965,-4.81408946797004
0.0,-114.0000000015163,-5.08330278729092,-5.08330278729092,0.021650808399999822,-16.6452588327807,0.28856913999999967,-5.39750114837529
0.0,-110.99999999921471,-5.8076832365986,-5.8076832365986,0.010729496199999989,-19.6942066971128,0.2518323856,-5.98888420443552
0.0,-108.00000000264272,-4.91312293909444,-4.91312293909444,0.0025661443999999986,-25.9071890900602,0.3200511955999999,-4.9478054609196
0.0,-105.00000000034115,-4.4491449822211,-4.4491449822211,0.011440074400000111,-19.4157115111953,0.3475525300000003,-4.58979545706954
0.0,-101.99999999803956,-6.29043093072945,-6.29043093072945,0.0149462689000001,-18.2546720856883,0.21999369999999996,-6.57589755970576
0.0,-99.00000000146755,-8.17034721174223,-8.17034721174223,0.0083501204000001,-20.7830726239919,0.14404297090000018,-8.41507929843306
0.0,-95.99999999916598,-6.77858062484076,-6.77858062484076,0.001172097800000013,-29.3103614921531,0.2087905000000001,-6.80289265686245
0.0,-93.00000000259399,-5.97641786003509,-5.97641786003509,0.017253089999999853,-17.6313311219827,0.23530321439999996,-6.28372140029047
0.0,-90.0000000002924,-7.38372485297997,-7.38372485297997,0.028162537599999964,-15.5032821543814,0.15449075889999994,-8.11097493447994
0.0,-86.99999999799083,-8.523052407358,-8.523052407358,0.0303192100000003,-15.1828211890774,0.11018675410000012,-9.5787061026676
0.0,-84.00000000141883,-8.02884575206744,-8.02884575206744,0.014757362099999857,-18.3099126634759,0.14268276250000003,-8.45628490818881
0.0,-80.99999999911725,-7.81940216058195,-7.81940216058195,0.0050315057999999425,-22.983020223468,0.16018741609999998,-7.95371603938347
0.0,-78.00000000254525,-8.33268086513245,-8.33268086513245,0.0036581572000000326,-24.36737635758,0.1431438228999999,-8.4422738839213
0.0,-75.00000000024367,-8.45941942467037,-8.45941942467037,0.004833075999999978,-23.1577637553749,0.13774674249999996,-8.60918662755688
0.0,-71.9999999979421,-8.97900501335904,-8.97900501335904,0.007647553699999941,-21.1647746478045,0.1188550600000001,-9.24982324383422
0.0,-69.00000000137008,-11.3760248152201,-11.3760248152201,0.0035931761000000256,-24.4452149768983,0.06925144999999962,-11.5957112882805
0.0,-65.99999999906852,-14.1173167561317,-14.1173167561317,0.0010812018009999913,-29.6609323955146,0.03766849639999997,-14.2402171502943
0.0,-63.00000000249652,-13.6632804232274,-13.6632804232274,0.0048134812999999855,-23.1754071104578,0.03820667240000012,-14.1786078542724
0.0,-60.00000000019494,-14.1004950748953,-14.1004950748953,0.011336687424000012,-19.4551382759843,0.027563392399999904,-15.5966733212245
0.0,-56.999999997893354,-17.1942278137878,-17.1942278137878,0.010111077699999988,-19.9520255220138,0.008968871699999976,-20.4726218853729
0.0,-54.00000000132136,-16.433865550934,-16.433865550934,0.0069256228209999575,-21.5954116442082,0.015805110400000107,-18.0120246623102
0.0,-50.99999999901978,-15.5574552171805,-15.5574552171805,0.0003207628999999982,-34.9381586874521,0.02749266249999979,-15.6078319929566
0.0,-48.00000000244778,-18.5282307560661,-18.5282307560661,0.0015600384410000077,-28.0686470003753,0.012473814599999902,-19.0400071521477
0.0,-45.0000000001462,-23.5325137458368,-23.5325137458368,0.0044049489999999775,-23.5605911543509,2.8570524999999928e-05,-45.4408177913045
0.0,-41.999999997844625,-17.3391779597577,-17.3391779597577,0.005150942599999979,-22.8811328969274,0.013302704200000005,-18.7606006581782
0.0,-39.000000001272625,-14.9079524960946,-14.9079524960946,0.0005205841090000032,-32.8350909300539,0.031779581600000176,-14.9785182487588
