2
Frequency=5040(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-15.7213611194857	-18.2741233649422	-19.2431398080179	-2.78247656350394	-1.46547322509605
0	-3.089232776	-16.745574828103	-20.3496441092341	-19.2336079041213	-3.09275721676809	-1.11222585551408
0	-3.0368728985	-20.8944524931487	-20.897368491854	-52.6258802557041	3.13167836322417	0.266086938528308
0	-2.9845130209	-15.513151867047	-17.466135657842	-19.9239686443929	-2.69946003486058	3.08198114015615
0	-2.9321531434	-11.7045096830712	-15.6470091387381	-13.9477729441454	-2.43552913048434	-2.48832700859297
0	-2.8797932658	-11.2996117196386	-19.5963377378888	-11.995329878947	-2.33331009208807	-2.05099341246494
0	-2.8274333882	-13.751090119209	-27.2561078885701	-13.9493140265267	2.98952181579526	-1.79658307102607
0	-2.7750735107	-14.5811355645539	-19.2881481748817	-16.374507557202	2.64345180481139	-2.05713048049716
0	-2.7227136331	-10.9700499056716	-16.4307479557605	-12.4233489829511	3.00912875065574	-2.5107988283438
0	-2.6703537556	-9.1298011317662	-17.3311145582649	-9.8423121113968	-2.70472112644814	-2.57038578295404
0	-2.617993878	-9.86822521252458	-16.5813834767443	-10.909302569424	-2.16284052198825	-2.5180369222559
0	-2.5656340004	-10.2382400293428	-14.6489774628071	-12.1912688744499	-2.32143585456206	-2.44263367398981
0	-2.5132741229	-7.84155561573601	-12.828763491668	-9.49836980980037	-2.69870805120587	-2.49104730575273
0	-2.4609142453	-5.59860536720351	-13.064242892507	-6.45644640485673	-2.86539461097379	-2.57884722170399
0	-2.4085543678	-5.33101577549814	-14.9522677808482	-5.83278748018046	-2.7872599402015	-2.63074913315247
0	-2.3561944902	-6.0766301659633	-14.9434400928854	-6.68050548078536	-2.75678078787221	-2.62001091437527
0	-2.3038346126	-5.58978382740925	-13.9399894985802	-6.27627722332504	-3.05752552283108	-2.57450009269118
0	-2.2514747351	-4.07804547128921	-14.4747983298027	-4.49369346335573	2.79377589997402	-2.60134577544765
0	-2.1991148575	-3.3516523842163	-17.6720507803974	-3.51529672713868	2.42276984950693	-2.68458122549207
0	-2.14675498	-3.79695504346827	-23.4804060092092	-3.84392124186709	2.67086811640112	-2.76423710145556
0	-2.0943951024	-4.3915033310862	-21.0668013406813	-4.48590200525606	-2.97999434510788	-2.78119376755782
0	-2.0420352248	-4.42134619925477	-19.5794917066548	-4.55583208342872	3.0478965130826	-2.72239045504793
0	-1.9896753473	-4.35333070354891	-21.0331225831101	-4.44763068139893	2.59327283670658	-2.63569353920226
0	-1.9373154697	-4.47172701154245	-24.0882921538516	-4.51942615400422	2.63325005926951	-2.53706957052588
0	-1.8849555922	-4.14055918396056	-23.2081495133732	-4.19472568573529	-3.07391773559776	-2.44087760881503
0	-1.8325957146	-3.30142975568713	-22.6154195760843	-3.35259097412743	3.07000405004586	-2.3793929081351
0	-1.780235837	-2.67272750870315	-23.9216248357661	-2.70542605762778	2.30252569070599	-2.33543455657747
0	-1.7278759595	-2.46908570624672	-23.774939370609	-2.50135663706116	1.74338405857282	-2.28039184318694
0	-1.6755160819	-2.31489987459846	-26.856168669001	-2.33019037620176	1.63169599900633	-2.23038289091125
0	-1.6231562044	-2.00367848743179	-31.8729518082538	-2.00815645411789	1.20912361349042	-2.21170160987052
0	-1.5707963268	-1.85445842144265	-28.54794348206	-1.86376738156983	0.205554724780825	-2.20160631461065
0	-1.5184364492	-2.0633406479139	-25.7918345169209	-2.08178471960411	-0.263689266447917	-2.16479089274975
0	-1.4660765717	-2.37971166044782	-26.95332860585	-2.3948884963211	-0.663542968346351	-2.09894664271853
0	-1.4137166941	-2.50418964582578	-29.1593688580131	-2.51358116569057	-0.677610117529764	-2.02381175774666
0	-1.3613568166	-2.47196877916344	-26.0730920075433	-2.49096299431681	-0.317805550683025	-1.94400518848661
0	-1.308996939	-2.4507747021922	-21.9118920328764	-2.50022200389818	-0.405039059279061	-1.86479497991724
0	-1.2566370614	-2.58545481663621	-19.943581702547	-2.66599121799612	-0.610848053578825	-1.80914864046337
0	-1.2042771839	-2.92215507672535	-19.2636457299917	-3.02418480853388	-0.750570857735108	-1.77852600036467
0	-1.1519173063	-3.29184938716436	-18.4384878591589	-3.42669767375559	-0.854512750774097	-1.73984761379324
0	-1.0995574288	-3.52040219595917	-17.0006418806933	-3.71978671210078	-0.982518814563213	-1.6808790584211
0	-1.0471975512	-3.79465734006922	-15.9007298725195	-4.07065399009086	-1.07489463997539	-1.63638665377303
0	-0.9948376736	-4.42762008272507	-15.580595925902	-4.77411452246321	-1.09558698507192	-1.62840346500074
0	-0.9424777961	-5.24518193735517	-15.3126770082384	-5.69532173366716	-1.09009780470381	-1.63530130614285
0	-0.8901179185	-5.83152475059811	-14.6810941878605	-6.43797785419318	-1.08925711534531	-1.61849122079917
0	-0.837758041	-6.35716052147133	-14.2012120161068	-7.13657253047668	-1.05611009467078	-1.54791587998202
0	-0.7853981634	-7.23672847758453	-13.9384121408907	-8.28091940728439	-1.01689181263883	-1.39210078180032
0	-0.7330382858	-8.08516959593945	-13.3584401045405	-9.61526362651218	-1.05904080493256	-1.15736385118529
0	-0.6806784083	-8.4161054629259	-12.539570150183	-10.5411381653463	-1.12022110687064	-0.986900859679144
0	-0.6283185307	-8.75465551668999	-12.272145354688	-11.3108519608972	-1.07131847047302	-0.955762251800612
0	-0.5759586532	-9.15738672930513	-12.4087479580865	-11.939305137282	-0.959181534525434	-0.877779045052166
