2
Frequency=960(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-18.5786217842204	-20.3324611830028	-23.3640153685875	2.40477704797935	0.677386438697402
0	-3.089232776	-12.758717910399	-21.3622208307143	-13.4032781462539	2.63456232171928	0.970075395418884
0	-3.0368728985	-9.77311800485479	-21.942567521977	-10.0449884322018	2.84420629360889	1.11951658301959
0	-2.9845130209	-8.0279968760581	-22.6220318573202	-8.18146983395799	2.87289718756218	1.21091491278251
0	-2.9321531434	-6.8446879547282	-23.3627026705115	-6.94260755244258	2.7465636247758	1.19338732145742
0	-2.8797932658	-6.40247795447371	-23.6033798565038	-6.4860121192494	2.60732748108176	1.18848751442586
0	-2.8274333882	-6.35120883794569	-24.1202871587934	-6.42441228133639	2.54619136172837	1.29232399101365
0	-2.7750735107	-5.80451678019582	-25.8474365106804	-5.84773345819618	2.54445490448896	1.38635888862632
0	-2.7227136331	-5.21148525729879	-28.1207131862507	-5.23376833609266	2.5823453726791	1.34735211405597
0	-2.6703537556	-5.4313328430288	-29.0782368697083	-5.45012745224701	2.61673211426144	1.27724069245337
0	-2.617993878	-6.39201777611601	-29.4780326163285	-6.41340980566004	2.63171750335701	1.3033330023591
0	-2.5656340004	-6.92073355292582	-31.2982910762867	-6.93661252063113	2.748948301961	1.38366537781352
0	-2.5132741229	-6.84569378875691	-32.4766092887312	-6.85758667513963	3.03008087467188	1.37396224919932
0	-2.4609142453	-7.23183355411525	-30.6417765751193	-7.25168454457554	3.03379299720519	1.33090397607415
0	-2.4085543678	-8.18718347638236	-28.8894769270773	-8.22428645657388	2.80171347461917	1.37974492929056
0	-2.3561944902	-8.51083401476536	-28.9939220878223	-8.54986645147117	2.60798365517862	1.47299161000677
0	-2.3038346126	-8.20443053341831	-30.2690333355999	-8.23151232659641	2.53450080194655	1.46825270276032
0	-2.2514747351	-8.45052493640832	-30.8278404658889	-8.47571979308485	2.49934380516878	1.42334954811937
0	-2.1991148575	-9.49437024043054	-31.6624816680902	-9.52081225855884	2.3488834912912	1.43091798381947
0	-2.14675498	-10.5681833980796	-35.0298283242744	-10.5837573303836	2.1684395995084	1.47092575472432
0	-2.0943951024	-11.324045344977	-38.4785642520068	-11.3324158348995	2.51442546238674	1.52735503942799
0	-2.0420352248	-11.6573189286747	-33.3701046699863	-11.6866936425475	2.84553720505679	1.69213159267558
0	-1.9896753473	-10.8641718063286	-30.4625567067922	-10.9120721508608	2.74108027348377	1.85730762972856
0	-1.9373154697	-10.0431155231965	-31.6164559424817	-10.0734520749108	2.72054500230437	1.81449101556431
0	-1.8849555922	-10.4213706277146	-32.1338489036197	-10.4507474283384	3.00079907993579	1.67198950475601
0	-1.8325957146	-11.9840383914762	-28.3587204650861	-12.0852821967818	2.99856645076958	1.67046497928606
0	-1.780235837	-12.5721208587454	-25.6801122132254	-12.7898035247647	2.73990784603286	1.8881899707502
0	-1.7278759595	-11.3729916820903	-25.5791568161401	-11.5410829897488	2.47976590343201	1.96210172308825
0	-1.6755160819	-10.7384960545005	-26.8509306768077	-10.8461205079353	2.32880408171748	1.87620983458489
0	-1.6231562044	-11.3458108352298	-26.7594710220795	-11.4724993722631	2.31923136411718	1.84003854217283
0	-1.5707963268	-12.2866724836651	-25.2861542440847	-12.5100065566907	2.22220023007816	1.89400209557626
0	-1.5184364492	-12.6068688804909	-24.5511332566762	-12.8936960618124	1.97520028660752	1.94192065565653
0	-1.4660765717	-12.4336697718782	-24.7153788461693	-12.6983868930495	1.68019163265487	2.00267978809006
0	-1.4137166941	-11.8586914592455	-25.5943312256608	-12.046438839545	1.42267847074141	2.07132492999206
0	-1.3613568166	-11.5268237558139	-27.9083349913409	-11.6279066173672	1.1761199232677	1.99076335463317
0	-1.308996939	-12.3356179350742	-33.4927286165025	-12.3690176035721	1.01780958093079	1.79528188485056
0	-1.2566370614	-14.4860541996495	-36.4916168629295	-14.5135078440498	2.24819633801879	1.78930955793948
0	-1.2042771839	-14.7341564675524	-27.8930006795929	-14.9492412814117	2.33057706987041	2.14070283202253
0	-1.1519173063	-12.8680793319854	-25.3507094069632	-13.1204738477665	1.88944366496865	2.13304438488794
0	-1.0995574288	-13.0980179459267	-25.8288889595982	-13.3359987431628	1.26148094157806	1.78836237637536
0	-1.0471975512	-17.0726864663091	-28.1018943151858	-17.4296205379568	0.674105870466429	1.54731849861457
0	-0.9948376736	-21.9623343443453	-35.8670218773308	-22.1427631038584	0.453032178502962	2.56558762848785
0	-0.9424777961	-15.5413542429782	-42.0629695079561	-15.5510394063962	2.53477279759255	2.7649805110978
0	-0.8901179185	-14.0257362344016	-36.7915419277049	-14.04876946707	3.00312643580847	2.39326736816194
0	-0.837758041	-15.5909073657848	-32.2553476916842	-15.6855449322779	3.13180206852013	2.21597696082055
0	-0.7853981634	-16.1572294631285	-26.4633136250543	-16.5820893447184	2.74623491585127	2.4995218887231
0	-0.7330382858	-14.0423258974202	-22.7515087963691	-14.6702139954925	2.32687681011976	2.40559848806633
0	-0.6806784083	-14.2076902311785	-21.8816603613774	-15.0213344622561	1.96746938812028	1.84216563369323
0	-0.6283185307	-18.3238763431966	-22.8953611643264	-20.1882063369923	1.7139170811001	0.872944018689878
0	-0.5759586532	-17.7912816939486	-23.5496687863723	-19.1317135237957	1.6341463060124	-1.29710796580281
0	-0.5235987756	-13.1176452977493	-22.3071135172889	-13.675377473705	1.50964178799749	-2.2078278464396
0	-0.47123889804	-11.8210692919732	-20.764202999214	-12.413672837245	1.20320697944936	-2.81181438530207
0	-0.41887902048	-12.478616116127	-20.064435725426	-13.3106480016064	0.866912514714516	-3.13360671225151
0	-0.36651914292	-14.1142190654054	-20.3924333390561	-15.2810224111925	0.618242750902421	-3.11377879389488
0	-0.31415926536	-15.0366463556712	-21.1378784843875	-16.2594855950205	0.467216291276526	-3.08755027471562
0	-0.2617993878	-15.7363643322315	-21.9149407717561	-16.934344548091	0.352584038955653	3.12265605587583
0	-0.20943951024	-16.5938613894107	-23.8293499158082	-17.5036280124386	0.25786950168038	-2.88700677472431
0	-0.15707963268	-15.9128212763445	-28.3687101934975	-16.1668211603448	0.324071120428445	-2.55985156375746
0	-0.10471975512	-16.4104324795256	-32.5945794444811	-16.5162727351711	0.9184277833071	-2.66938058475404
0	-0.05235987756	-18.6363949169121	-30.9020522737734	-18.9021228624071	1.21416909992043	-2.94108614629228
