Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0	-1.780235837	-7.06497553643525	-29.9680005337581	-7.08729054635922	0.181175154445668	-1.56201771919939
0	-1.7278759595	-7.47794736735419	-24.485108684898	-7.56533098787299	0.964106916806224	-1.50755780209428
0	-1.6755160819	-7.46061706056348	-24.7730780675873	-7.5420127940187	0.153944074135919	-1.37692903699702
0	-1.6231562044	-6.56724628979768	-21.349653224829	-6.7140933588084	-0.534229303480299	-1.24603167000368
0	-1.5707963268	-6.08506861844627	-23.3169964588702	-6.16800242873528	-0.630842815225668	-1.23174067381325
0	-1.5184364492	-6.13784237827522	-31.6366610897893	-6.15010308010906	0.164106743056963	-1.28558118728039
0	-1.4660765717	-6.16299189091743	-26.3060686042486	-6.20521850507814	0.84066967965603	-1.27411483767045
0	-1.4137166941	-6.25730166074108	-22.9094692656752	-6.35220998935226	0.462834906003939	-1.18612282482773
0	-1.3613568166	-6.83997794548881	-22.2580094109636	-6.96653715638307	0.126693878071581	-1.15114546465979
0	-1.308996939	-7.64617080210198	-23.1661751136908	-7.769750812848	-0.0726164249832796	-1.21291319637373
0	-1.2566370614	-7.85263741334603	-22.8930085814466	-7.99087972100051	-0.0607025187346718	-1.22920710561933
0	-1.2042771839	-7.80083255359189	-21.7107863323589	-7.98103805830844	0.0320674636206602	-1.13035343188895
0	-1.1519173063	-8.33508724641914	-21.2253356004072	-8.56426257028145	0.0170892034354672	-1.03612309711592
0	-1.0995574288	-9.36434015734741	-20.2915540722358	-9.73012332735531	-0.188289230090488	-1.00745278240658
0	-1.0471975512	-9.76256303969558	-18.5407985500163	-10.3798079847837	-0.473099123393823	-0.959610268795565
0	-0.9948376736	-9.57121701279279	-18.209299626024	-10.2102701400353	-0.748220460564505	-0.846602323881441
0	-0.9424777961	-9.75008487164501	-20.3492900693219	-10.1459113159307	-0.962176897233043	-0.758107397454671
0	-0.8901179185	-10.139212278585	-23.7162233109613	-10.3341030646368	-0.705481680725795	-0.719355550628978
0	-0.837758041	-9.80176057660934	-21.3549579532534	-10.1166167973256	-0.193475809151297	-0.686654079365354
0	-0.7853981634	-9.44473979711501	-19.071717386909	-9.9458107721227	-0.297223792870863	-0.663992362361901
0	-0.7330382858	-10.1021651918857	-18.7168980633007	-10.7449313861167	-0.629646178705744	-0.669413829464194
0	-0.6806784083	-11.1445688147706	-18.6964682058395	-11.9837974560785	-0.787710720131849	-0.631659347919632
0	-0.6283185307	-11.1877648667265	-18.7424560180572	-12.0263986111144	-0.680835049606636	-0.494725682484248
0	-0.5759586532	-10.6910633956259	-18.8093967636753	-11.4185366284165	-0.618718993872475	-0.416674353503059
0	-0.5235987756	-11.1791111049792	-18.6689750534826	-12.0316794163162	-0.680194166834092	-0.453283434005558
0	-0.47123889804	-11.9929604283171	-17.4595059401698	-13.4439377363227	-0.673750104881988	-0.465329516381548
0	-0.41887902048	-11.6813004087255	-16.2742231159587	-13.5341799572564	-0.650534074366374	-0.338109535415593
