2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-2.14675498	-9.98833248567556	-40.766277590475	-9.99196469943151	-0.70584224899232	0.174747235748649
902000000	-2.0943951024	-10.830075057888	-36.287367454576	-10.8424537242567	-1.61222821673398	0.219674244139202
902000000	-2.0420352248	-11.1557628100941	-31.3961670935849	-11.1970491672726	-2.3892880264486	0.307414495614473
902000000	-1.9896753473	-11.1166987242406	-28.2086319589826	-11.2023764303572	3.05795142922154	0.391634264702589
902000000	-1.9373154697	-10.7177745711097	-26.3056213381116	-10.839412022538	2.2429874068796	0.434670215149245
902000000	-1.8849555922	-10.2109202584546	-26.6503805100108	-10.3106478019276	1.45848155148744	0.383975415597514
902000000	-1.8325957146	-10.4848657121828	-28.9885799247042	-10.5465956344741	0.56059829827036	0.268520449461401
902000000	-1.780235837	-12.1462393727193	-33.4133194661713	-12.1788007941928	-0.383029076099909	0.218876116623757
902000000	-1.7278759595	-13.7197245033799	-39.8240547649036	-13.7303876242498	-2.45509781032699	0.398371609706386
902000000	-1.6755160819	-12.4746719815682	-32.2426019300544	-12.5207286068473	2.68178977115919	0.554701136325668
902000000	-1.6231562044	-11.2662723656166	-31.4815941428712	-11.307799007363	2.10343313220561	0.440136073190608
902000000	-1.5707963268	-12.2670409118593	-31.2334352353173	-12.3224925667408	1.37458018869566	0.258366783233451
902000000	-1.5184364492	-15.3264158710808	-30.8040942867577	-15.4512237256613	0.833494637609871	0.285329420182135
902000000	-1.4660765717	-15.9291410757708	-35.4285836454143	-15.9781514783561	0.144595708748587	0.67243109160668
902000000	-1.4137166941	-13.3888369023406	-37.1021054244306	-13.4073458863241	-1.65571026895701	0.734067754320357
902000000	-1.3613568166	-12.6348910138419	-37.0664277399298	-12.6505734860419	-2.80474950160638	0.594309791124298
902000000	-1.308996939	-13.6819543117338	-35.1144670701288	-13.7132943190486	1.60452355524591	0.523536799372144
902000000	-1.2566370614	-14.3693997136262	-30.9758760642676	-14.4653229918094	0.58388093895816	0.565269246138082
902000000	-1.2042771839	-14.0236941689327	-29.8440735584442	-14.1389052338342	-0.326956282835831	0.52718732912155
902000000	-1.1519173063	-14.5763109587451	-30.737075206968	-14.6827296604674	-0.810472040619739	0.439689641436763
902000000	-1.0995574288	-16.0458044894218	-34.3044573642658	-16.1111449135157	-0.442475449796075	0.53762465008537
902000000	-1.0471975512	-15.1096389939796	-31.7211885851034	-15.2054490397288	-0.422256250109393	0.699382890394439
902000000	-0.9948376736	-13.2356352173535	-27.6885034831773	-13.3942724786904	-1.34861300663555	0.53079978739403
902000000	-0.9424777961	-13.1856756947424	-24.5453892806705	-13.5154346340292	-2.1177857305109	0.217568734501384
902000000	-0.8901179185	-16.2067909736337	-25.1070279790083	-16.8057016637673	-2.93028556186711	0.0454433978562846
902000000	-0.837758041	-19.2926370664149	-26.3070350864319	-20.2555845862541	2.34201622675655	0.572834938601591
902000000	-0.7853981634	-15.8138940226647	-28.7626057171182	-16.0399237780233	1.62017953769942	0.794810704780142
902000000	-0.7330382858	-13.7482592922541	-40.2876004235835	-13.7579049620929	1.85838193013985	0.468050754317761
902000000	-0.6806784083	-14.097528488556	-32.4052461986292	-14.1621293904923	2.88190381277673	0.116893958967962
902000000	-0.6283185307	-16.2175489653495	-28.4932950677422	-16.4826411290356	1.92483713440354	-0.0404918741190531
902000000	-0.5759586532	-16.5864386847589	-23.7211066300552	-17.5200405188848	0.962572526149367	0.0466628666919504
902000000	-0.5235987756	-15.0438020305881	-21.3539677166632	-16.2008045601878	0.341671771877713	-0.0688875878345166
902000000	-0.47123889804	-14.9067058809936	-22.1654233714267	-15.8110770633577	-0.321953435302765	-0.440673938885007
902000000	-0.41887902048	-15.8255824342326	-23.0381776593599	-16.7407014625826	-1.23944448811431	-0.925838514756691
902000000	-0.36651914292	-16.3565429904426	-22.3169222872572	-17.6261908997628	-2.06563087635051	-1.37825038944926
902000000	-0.31415926536	-16.4598085598111	-21.8359702668757	-17.9471672021813	-2.77677810086769	-1.69403495528467
902000000	-0.2617993878	-16.5845287221857	-21.0997058166908	-18.4793513314882	2.95448076647121	-2.04660686790725
902000000	-0.20943951024	-17.3024558514474	-21.4173678910461	-19.4328955418747	2.67884006382983	-2.55091389762818
902000000	-0.15707963268	-18.7816977924775	-22.8500032557778	-20.941910316503	2.53214055937287	-2.94472168385573
902000000	-0.10471975512	-20.2273211721253	-23.023661320762	-23.4626705978378	2.3257429843429	-2.87720912613044
902000000	-0.05235987756	-19.0779531797937	-21.8958704526154	-22.2895545456316	2.16835563635568	-2.67136734097979
902000000	-4.4408920985E-16	-17.829599946995	-22.6645843815002	-19.558974350973	2.22454470526353	-2.9458747568567
902000000	0.05235987756	-17.6595371816737	-25.6419733019775	-18.4122567840381	-0.496962899542567	-0.112349702725011
902000000	0.10471975512	-19.1143876173638	-26.1002326452738	-20.084452036217	-0.030927130908831	-0.166675926015539
902000000	0.15707963268	-20.3659126353435	-25.3797162039816	-22.0104290189102	-0.16130048689651	0.143679583910515
902000000	0.20943951024	-19.1932692270507	-24.5846738281448	-20.6744175398411	-0.335474762360045	0.235280154671533
902000000	0.2617993878	-18.1515814242942	-24.7328462414283	-19.2290877321022	-0.0266626467802859	-0.0385614612503791
902000000	0.31415926536	-17.1409930209879	-24.2889423142659	-18.0714156929685	0.604953983977504	-0.335503138333044
902000000	0.36651914292	-15.569204816283	-25.5079491433731	-16.03363954845	1.26693295213574	-0.459511889562931
902000000	0.41887902048	-13.1066746137108	-26.9928850238043	-13.2878889197827	2.52721994621739	-0.392553470483778
902000000	0.47123889804	-11.2541747824551	-23.3823491915316	-11.5287251783133	-2.81662127291279	-0.223466572810601
902000000	0.5235987756	-11.2672067974402	-23.7995621897246	-11.5166438303975	-2.22340414415322	0.0218082181073055
902000000	0.5759586532	-12.6460138899931	-28.4521261454078	-12.7616091507473	-1.40770962769998	0.28063376016524
902000000	0.6283185307	-14.500549124126	-35.5221683520822	-14.5350114325186	-0.0250365834661122	0.386049338120836
902000000	0.6806784083	-15.7392432285679	-38.794391208555	-15.7607882195928	2.42882184598881	0.302862897998366
902000000	0.7330382858	-15.9570840910017	-29.4721236212814	-16.1548405428054	-2.13255000679471	0.258906033514519
902000000	0.7853981634	-16.4000851258926	-24.8509282153155	-17.0695759077408	-1.32085734483085	0.204743326113564
902000000	0.837758041	-16.7759593779712	-25.4838691786335	-17.4040455402568	-0.462890861478566	-0.165099906443148
902000000	0.8901179185	-14.0593921042744	-25.5855722113476	-14.3762865907721	0.732914079487921	-0.430920018686596
902000000	0.9424777961	-11.5031997088399	-25.6881788596514	-11.6721292072804	1.50551499221291	-0.281285400677814
902000000	0.9948376736	-10.3845975413357	-31.2970772626036	-10.4199404498212	2.21789559894078	0.00420840529133473
902000000	1.0471975512	-10.868062188477	-37.5903895629538	-10.8773094652351	2.9400361476531	0.225666084384082
902000000	1.0995574288	-13.1047575758677	-33.842513688782	-13.1415575403034	2.20140191103702	0.290891456705253
902000000	1.1519173063	-15.247032055786	-29.6834234242136	-15.4062835133603	2.3484326797032	0.108698493664739
902000000	1.2042771839	-14.3895806120714	-30.4764084548022	-14.4978495124021	3.0707802406255	-0.169860478852618
902000000	1.2566370614	-11.968941807961	-30.4545238524785	-12.0309318487488	-2.60157317615632	-0.265891128152234
902000000	1.308996939	-10.2701136210697	-32.305634691452	-10.2973779433798	-2.80505405913684	-0.198229866347443
902000000	1.3613568166	-9.60521332295386	-31.7832995464891	-9.63159449461193	-3.12527953770695	-0.0132214180941635
902000000	1.4137166941	-9.96520349013785	-31.445814039288	-9.99619708949267	-2.75720226216182	0.18096741250308
902000000	1.4660765717	-11.551355956972	-31.7432850053029	-11.5931079618164	-2.47976979745007	0.210955364128699
902000000	1.5184364492	-12.7113957617994	-32.0032350483154	-12.7628201418247	-2.82736075450546	-0.0383847906954999
902000000	1.5707963268	-11.072099996663	-29.8903651254233	-11.1294883889453	-2.81776843770411	-0.195100090555036
902000000	1.6231562044	-9.33961788057353	-28.975542193161	-9.38710370779975	-2.18686392393048	-0.0706944020042574
902000000	1.6755160819	-9.242535108589	-30.5548047082142	-9.27475822281891	-1.53789757706602	0.114865490847923
902000000	1.7278759595	-11.0209963183798	-53.0233832217659	-11.0212701977464	-0.66858545197765	0.206080196371853
902000000	1.780235837	-12.8746595056785	-30.5545100430263	-12.9493956530227	2.76609374589023	0.0581195245967919
902000000	1.8325957146	-11.9091103754302	-25.5119471550455	-12.1028195052766	-2.74497332931049	-0.168910423461079
902000000	1.8849555922	-10.362600392647	-24.4921193915795	-10.5337443252099	-2.07015643463909	-0.197494481602452
902000000	1.9373154697	-10.170865292113	-28.6184700920112	-10.2334037259189	-1.2783061278744	-0.143027163734503
902000000	1.9896753473	-10.5895182680884	-32.634994189723	-10.6167199710821	0.428204862748954	-0.131766321348434
902000000	2.0420352248	-10.3674136714201	-30.2462391297917	-10.412303123537	1.70067137858128	-0.20093982246418
902000000	2.0943951024	-9.60441412106647	-28.6795373088194	-9.65848616541531	2.59390597481495	-0.260641561044859
902000000	2.14675498	-9.218639053755	-27.7899515697025	-9.2794088818808	3.0152304845595	-0.258108865099367
902000000	2.1991148575	-9.18251597520966	-27.8530446341704	-9.24190380472442	-3.0787209115831	-0.237275207609891
902000000	2.2514747351	-8.84748094685022	-27.6847920967584	-8.90461655372715	-2.76243574261883	-0.257540799368107
902000000	2.3038346126	-8.20969583993637	-28.4661760344432	-8.25082892872684	-2.37437430526532	-0.296483993335614
902000000	2.3561944902	-7.80665510512584	-33.890830617101	-7.81736788766377	-2.15715171151656	-0.297558589361671
902000000	2.4085543678	-7.67875529898768	-38.115700715837	-7.68268433678457	2.62637047630988	-0.279463957737182
902000000	2.4609142453	-7.37910456856	-29.2458904151724	-7.407452564078	2.62852407087292	-0.30921132886466
902000000	2.5132741229	-6.68504894416767	-26.6613297955249	-6.7289372476475	2.95872334433629	-0.376879846691767
902000000	2.5656340004	-5.94419637149094	-27.6428560982703	-5.97366711158501	-3.06495388462905	-0.397055774905201
902000000	2.617993878	-5.55654017022143	-30.3265689997713	-5.57104479363703	-2.9572693388646	-0.355147578253039
902000000	2.6703537556	-5.59863568413668	-30.773800224777	-5.61184645708426	-3.08431465431063	-0.316259750952435
902000000	2.7227136331	-5.92337188090294	-29.3933007396781	-5.94294995470802	-3.13584514978857	-0.328583018752022
902000000	2.7750735107	-6.17662728118459	-29.8966266298657	-6.19510754053342	-2.87019082824785	-0.362544237264508
902000000	2.8274333882	-6.20230344975675	-30.3074991541351	-6.21921213738138	-2.15325605207917	-0.371272713415125
902000000	2.8797932658	-6.36483462832518	-29.3402095384493	-6.38678003476259	-1.48398943288254	-0.367218766194962
902000000	2.9321531434	-7.18167186431077	-30.3391681879898	-7.20271383215226	-0.624033726930175	-0.362632897606504
902000000	2.9845130209	-8.82055376252865	-27.3131690694463	-8.88244277550304	0.243064789865564	-0.318145540558065
902000000	3.0368728985	-11.4335661606054	-26.0966221123026	-11.5845767374795	0.384252940827034	-0.224193205724682
902000000	3.089232776	-16.9134361911488	-27.5663971890918	-17.304167594686	0.0297545437525691	-0.263081866022794
902000000	3.1415926536	-21.1431491029004	-26.4327415387563	-22.6663677941504	-0.24920040813667	-2.29589214894347
915000000	-3.1415926536	-19.5127274748375	-32.6634050951335	-19.7282273326119	-2.24016855340323	1.11291346690322
915000000	-3.089232776	-11.4888619630244	-28.7033485169268	-11.5721327255298	-2.36389849801985	0.474664112465129
915000000	-3.0368728985	-8.50698738610934	-24.3496685766366	-8.62160048211739	-2.59831512889859	0.355802101697132
