1
Frequency	Efficiency	Efficiency . dB
902000000	0.0886443181359207	-10.5234909628752
915000000	0.0782802211682547	-11.0634795598265
928000000	0.0638101984460448	-11.9510990474466
960000000	0.0813131854836477	-10.8983902490435
1700000000	0.224359543332844	-6.49055452635723
2100000000	0.258524739947768	-5.87497890060642
3300000000	0.174385124978375	-7.58490563069314
3400000000	0.169138590241597	-7.71757293544013
3500000000	0.218627626775008	-6.60294959505088
3800000000	0.236741949322157	-6.25724780748812
5040000000	0.383643001648052	-4.16072719718832
5060000000	0.369755990798026	-4.32084780821407
5080000000	0.381743213311136	-4.18228675156214
5500000000	0.398200566810731	-3.99898126120267
