2
Frequency=5500(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-13.2537258634794	-13.4347984483074	-27.1432636965574	2.02125447152192	-2.54266945647772
0	-3.089232776	-15.3774559610508	-16.5377639218836	-21.6768113270506	2.50056176947656	-2.96418015789943
0	-3.0368728985	-12.3464358028317	-17.419332812026	-13.9640175072746	-3.08756789430366	2.57643293292096
0	-2.9845130209	-11.2205131349725	-19.1584207581009	-11.9817112284446	2.14173024219464	2.42253842196655
0	-2.9321531434	-10.6015378734038	-12.4101129647783	-15.2789665305179	1.71836551383601	2.3385371879107
0	-2.8797932658	-10.0125252520474	-11.9492603401554	-14.4521062158174	2.21580143192112	2.08083320892572
0	-2.8274333882	-6.72712336426806	-12.1971848369895	-8.17670673982533	2.95525903119168	2.09811422009093
0	-2.7750735107	-5.12982348995784	-15.0885673415774	-5.59200669834702	-2.95907147719868	2.2463994659209
0	-2.7227136331	-6.93472391340574	-20.392944672272	-7.13514563283102	2.90082641511173	2.49231599393542
0	-2.6703537556	-8.58785530564017	-14.2358896091324	-9.96888896656786	2.30847282038699	2.71332226940706
0	-2.617993878	-6.81015122631485	-10.2493761376867	-9.43010659938448	2.06370174642781	2.4463614490593
0	-2.5656340004	-4.91007213210377	-9.91320640581802	-6.55950875881127	1.60649543947422	2.18364916861023
0	-2.5132741229	-5.17834092641393	-11.9208171723654	-6.21151030543351	1.09903315849506	2.09683993271064
0	-2.4609142453	-6.86828434290009	-17.7619259755618	-7.23703006233889	0.931004915799748	2.027035901749
0	-2.4085543678	-5.86128702327104	-17.4966955942345	-6.17002415490016	1.49305856332065	1.96222235300017
0	-2.3561944902	-3.33618599483954	-11.4848573212268	-4.05814977034661	1.24015927946634	1.94226591287053
0	-2.3038346126	-2.68274191810039	-10.483135341629	-3.47078802485031	0.867282966562286	1.88240811047718
0	-2.2514747351	-3.90342409258454	-16.2764413764672	-4.16246616709396	0.367019509223377	1.69362107919935
0	-2.1991148575	-4.33341473903291	-32.8857074966756	-4.33948012258772	-1.30885926215358	1.44012888875199
0	-2.14675498	-4.05045240764787	-21.6710861677326	-4.12622357628027	1.89729998860471	1.31423381486893
0	-2.0943951024	-4.3802048494166	-15.5949136938072	-4.72161146794866	1.29543321324082	1.32853266472438
